Date,Growing Year,Thermal Temperature,Cumulative Thermal Temperature
1978-09-01,1978-1979,12.6,12.6
1978-09-02,1978-1979,12.55,25.15
1978-09-03,1978-1979,12.649999999999999,37.8
1978-09-04,1978-1979,12.9,50.699999999999996
1978-09-05,1978-1979,14.8,65.5
1978-09-06,1978-1979,16.25,81.75
1978-09-07,1978-1979,16.65,98.4
1978-09-08,1978-1979,14.350000000000001,112.75
1978-09-09,1978-1979,16.700000000000003,129.45
1978-09-10,1978-1979,19.6,149.04999999999998
1978-09-11,1978-1979,17.15,166.2
1978-09-12,1978-1979,13.450000000000003,179.64999999999998
1978-09-13,1978-1979,16.55,196.2
1978-09-14,1978-1979,14.25,210.45
1978-09-15,1978-1979,14.549999999999999,225.0
1978-09-16,1978-1979,15.2,240.2
1978-09-17,1978-1979,14.55,254.75
1978-09-18,1978-1979,11.900000000000002,266.65
1978-09-19,1978-1979,11.500000000000002,278.15
1978-09-20,1978-1979,11.750000000000002,289.9
1978-09-21,1978-1979,16.35,306.25
1978-09-22,1978-1979,14.950000000000001,321.2
1978-09-23,1978-1979,15.650000000000004,336.84999999999997
1978-09-24,1978-1979,17.349999999999998,354.2
1978-09-25,1978-1979,15.25,369.45
1978-09-26,1978-1979,10.899999999999999,380.34999999999997
1978-09-27,1978-1979,13.299999999999999,393.65
1978-09-28,1978-1979,11.5,405.15
1978-09-29,1978-1979,12.35,417.5
1978-09-30,1978-1979,9.2,426.7
1978-10-01,1978-1979,11.3,438.0
1978-10-02,1978-1979,9.350000000000001,447.35
1978-10-03,1978-1979,9.25,456.6
1978-10-04,1978-1979,9.200000000000001,465.8
1978-10-05,1978-1979,12.95,478.75
1978-10-06,1978-1979,13.8,492.55
1978-10-07,1978-1979,12.499999999999996,505.05
1978-10-08,1978-1979,11.600000000000001,516.65
1978-10-09,1978-1979,13.800000000000002,530.4499999999999
1978-10-10,1978-1979,15.150000000000002,545.5999999999999
1978-10-11,1978-1979,17.599999999999998,563.1999999999999
1978-10-12,1978-1979,16.0,579.1999999999999
1978-10-13,1978-1979,11.049999999999999,590.2499999999999
1978-10-14,1978-1979,11.000000000000002,601.2499999999999
1978-10-15,1978-1979,13.049999999999999,614.2999999999998
1978-10-16,1978-1979,10.049999999999999,624.3499999999998
1978-10-17,1978-1979,8.600000000000001,632.9499999999998
1978-10-18,1978-1979,7.600000000000001,640.5499999999998
1978-10-19,1978-1979,9.399999999999999,649.9499999999998
1978-10-20,1978-1979,11.6,661.5499999999998
1978-10-21,1978-1979,9.15,670.6999999999998
1978-10-22,1978-1979,11.800000000000002,682.4999999999998
1978-10-23,1978-1979,9.5,691.9999999999998
1978-10-24,1978-1979,12.100000000000001,704.0999999999998
1978-10-25,1978-1979,13.850000000000001,717.9499999999998
1978-10-26,1978-1979,13.0,730.9499999999998
1978-10-27,1978-1979,12.75,743.6999999999998
1978-10-28,1978-1979,8.8,752.4999999999998
1978-10-29,1978-1979,9.250000000000004,761.7499999999998
1978-10-30,1978-1979,11.049999999999999,772.7999999999997
1978-10-31,1978-1979,11.899999999999999,784.6999999999997
1978-11-01,1978-1979,12.15,796.8499999999997
1978-11-02,1978-1979,13.700000000000001,810.5499999999997
1978-11-03,1978-1979,8.5,819.0499999999997
1978-11-04,1978-1979,10.049999999999999,829.0999999999997
1978-11-05,1978-1979,11.350000000000001,840.4499999999997
1978-11-06,1978-1979,10.049999999999999,850.4999999999997
1978-11-07,1978-1979,10.8,861.2999999999996
1978-11-08,1978-1979,13.650000000000002,874.9499999999996
1978-11-09,1978-1979,9.55,884.4999999999995
1978-11-10,1978-1979,7.300000000000001,891.7999999999995
1978-11-11,1978-1979,6.8,898.5999999999995
1978-11-12,1978-1979,9.450000000000001,908.0499999999995
1978-11-13,1978-1979,7.3500000000000005,915.3999999999995
1978-11-14,1978-1979,9.25,924.6499999999995
1978-11-15,1978-1979,11.85,936.4999999999995
1978-11-16,1978-1979,7.250000000000002,943.7499999999995
1978-11-17,1978-1979,9.15,952.8999999999995
1978-11-18,1978-1979,11.45,964.3499999999996
1978-11-19,1978-1979,12.65,976.9999999999995
1978-11-20,1978-1979,5.5,982.4999999999995
1978-11-21,1978-1979,7.999999999999999,990.4999999999995
1978-11-22,1978-1979,11.55,1002.0499999999995
1978-11-23,1978-1979,10.600000000000001,1012.6499999999995
1978-11-24,1978-1979,10.55,1023.1999999999995
1978-11-25,1978-1979,3.05,1026.2499999999995
1978-11-26,1978-1979,1.9,1028.1499999999996
1978-11-27,1978-1979,1.2499999999999998,1029.3999999999996
1978-11-28,1978-1979,1.2499999999999998,1030.6499999999996
1978-11-29,1978-1979,1.6999999999999997,1032.3499999999997
1978-11-30,1978-1979,1.65,1033.9999999999998
1978-12-01,1978-1979,0.6,1034.5999999999997
1978-12-02,1978-1979,2.7999999999999994,1037.3999999999996
1978-12-03,1978-1979,3.3500000000000005,1040.7499999999995
1978-12-04,1978-1979,6.050000000000001,1046.7999999999995
1978-12-05,1978-1979,2.5999999999999996,1049.3999999999994
1978-12-06,1978-1979,1.0,1050.3999999999994
1978-12-07,1978-1979,3.8,1054.1999999999994
1978-12-08,1978-1979,5.800000000000001,1059.9999999999993
1978-12-09,1978-1979,9.35,1069.3499999999992
1978-12-10,1978-1979,10.150000000000002,1079.4999999999993
1978-12-11,1978-1979,10.85,1090.3499999999992
1978-12-12,1978-1979,9.65,1099.9999999999993
1978-12-13,1978-1979,6.8,1106.7999999999993
1978-12-14,1978-1979,6.7,1113.4999999999993
1978-12-15,1978-1979,4.8,1118.2999999999993
1978-12-16,1978-1979,4.35,1122.6499999999992
1978-12-17,1978-1979,2.2500000000000004,1124.8999999999992
1978-12-18,1978-1979,2.05,1126.9499999999991
1978-12-19,1978-1979,0.55,1127.499999999999
1978-12-20,1978-1979,0.3,1127.799999999999
1978-12-21,1978-1979,1.0,1128.799999999999
1978-12-22,1978-1979,0.3,1129.099999999999
1978-12-23,1978-1979,2.85,1131.949999999999
1978-12-24,1978-1979,4.450000000000001,1136.399999999999
1978-12-25,1978-1979,5.350000000000001,1141.7499999999989
1978-12-26,1978-1979,6.6,1148.3499999999988
1978-12-27,1978-1979,8.2,1156.5499999999988
1978-12-28,1978-1979,8.6,1165.1499999999987
1978-12-29,1978-1979,7.8,1172.9499999999987
1978-12-30,1978-1979,0.39999999999999997,1173.3499999999988
1978-12-31,1978-1979,0.0,1173.3499999999988
1979-01-01,1978-1979,0.0,1173.3499999999988
1979-01-02,1978-1979,0.3,1173.6499999999987
1979-01-03,1978-1979,0.0,1173.6499999999987
1979-01-04,1978-1979,0.25,1173.8999999999987
1979-01-05,1978-1979,0.0,1173.8999999999987
1979-01-06,1978-1979,1.8,1175.6999999999987
1979-01-07,1978-1979,3.450000000000001,1179.1499999999987
