Date,Growing Year,Cumulative Radiation
1978-09-01,1978-1979,4.06779661
1978-09-02,1978-1979,8.13559322
1978-09-03,1978-1979,12.20338983
1978-09-04,1978-1979,16.27118644
1978-09-05,1978-1979,20.33898305
1978-09-06,1978-1979,30.508474575
1978-09-07,1978-1979,40.677966100000006
1978-09-08,1978-1979,50.847457625000004
1978-09-09,1978-1979,61.01694915
1978-09-10,1978-1979,77.96610169499999
1978-09-11,1978-1979,94.91525424
1978-09-12,1978-1979,106.77966103
1978-09-13,1978-1979,118.64406782
1978-09-14,1978-1979,130.50847461
1978-09-15,1978-1979,142.3728814
1978-09-16,1978-1979,153.6723164
1978-09-17,1978-1979,164.97175140000002
1978-09-18,1978-1979,176.2711864
1978-09-19,1978-1979,189.83050845
1978-09-20,1978-1979,203.3898305
1978-09-21,1978-1979,216.94915253333332
1978-09-22,1978-1979,230.50847456666668
1978-09-23,1978-1979,244.0677966
1978-09-24,1978-1979,255.36723163333335
1978-09-25,1978-1979,266.6666666666667
1978-09-26,1978-1979,277.9661017
1978-09-27,1978-1979,294.91525425
1978-09-28,1978-1979,311.8644068
1978-09-29,1978-1979,318.6440678
1978-09-30,1978-1979,325.4237288
1978-10-01,1978-1979,332.20338979999997
1978-10-02,1978-1979,338.9830508
1978-10-03,1978-1979,350.28248583333334
1978-10-04,1978-1979,361.5819208666667
1978-10-05,1978-1979,372.8813559
1978-10-06,1978-1979,378.30508472
1978-10-07,1978-1979,383.72881354000003
1978-10-08,1978-1979,389.15254236
1978-10-09,1978-1979,394.57627118
1978-10-10,1978-1979,400.0
1978-10-11,1978-1979,406.779661025
1978-10-12,1978-1979,413.55932205
1978-10-13,1978-1979,420.338983075
1978-10-14,1978-1979,427.1186441
1978-10-15,1978-1979,431.1864407
1978-10-16,1978-1979,435.2542373
1978-10-17,1978-1979,439.3220339
1978-10-18,1978-1979,443.3898305
1978-10-19,1978-1979,447.4576271
1978-10-20,1978-1979,452.542372875
1978-10-21,1978-1979,457.62711865
1978-10-22,1978-1979,462.711864425
1978-10-23,1978-1979,467.7966102
1978-10-24,1978-1979,474.5762712
1978-10-25,1978-1979,481.3559322
1978-10-26,1978-1979,488.1355932
1978-10-27,1978-1979,491.04116221428575
1978-10-28,1978-1979,493.9467312285714
1978-10-29,1978-1979,496.85230024285715
1978-10-30,1978-1979,499.7578692571429
1978-10-31,1978-1979,502.6634382714286
1978-11-01,1978-1979,505.5690072857143
1978-11-02,1978-1979,508.4745763
1978-11-03,1978-1979,511.86440680000004
1978-11-04,1978-1979,515.2542373
1978-11-05,1978-1979,518.6440678
1978-11-06,1978-1979,522.0338983
1978-11-07,1978-1979,528.8135593333334
1978-11-08,1978-1979,535.5932203666666
1978-11-09,1978-1979,542.3728814
1978-11-10,1978-1979,544.06779665
1978-11-11,1978-1979,545.7627119
1978-11-12,1978-1979,547.45762715
1978-11-13,1978-1979,549.1525424
1978-11-14,1978-1979,555.9322034
1978-11-15,1978-1979,562.7118644
1978-11-16,1978-1979,569.4915254
1978-11-17,1978-1979,572.881355925
1978-11-18,1978-1979,576.27118645
1978-11-19,1978-1979,579.661016975
1978-11-20,1978-1979,583.0508475
1978-11-21,1978-1979,589.8305085000001
1978-11-22,1978-1979,596.6101695
1978-11-23,1978-1979,603.3898305
1978-11-24,1978-1979,607.45762712
1978-11-25,1978-1979,611.52542374
1978-11-26,1978-1979,615.59322036
1978-11-27,1978-1979,619.66101698
1978-11-28,1978-1979,623.7288136
1978-11-29,1978-1979,627.1186441
1978-11-30,1978-1979,630.5084746
1978-12-01,1978-1979,633.8983051
1978-12-02,1978-1979,637.2881356
1978-12-03,1978-1979,640.6779661
1978-12-04,1978-1979,644.0677966000001
1978-12-05,1978-1979,647.4576271
1978-12-06,1978-1979,650.8474576
1978-12-07,1978-1979,652.2033898
1978-12-08,1978-1979,653.559322
1978-12-09,1978-1979,654.9152542
1978-12-10,1978-1979,656.2711864
1978-12-11,1978-1979,657.6271186
1978-12-12,1978-1979,657.6271186
1978-12-13,1978-1979,657.6271186
1978-12-14,1978-1979,657.6271186
1978-12-15,1978-1979,657.6271186
1978-12-16,1978-1979,659.322033875
1978-12-17,1978-1979,661.0169491500001
1978-12-18,1978-1979,662.711864425
1978-12-19,1978-1979,664.4067797
1978-12-20,1978-1979,666.10169495
1978-12-21,1978-1979,667.7966102
1978-12-22,1978-1979,669.49152545
1978-12-23,1978-1979,671.1864407
1978-12-24,1978-1979,672.88135595
1978-12-25,1978-1979,674.5762712000001
1978-12-26,1978-1979,676.27118645
1978-12-27,1978-1979,677.9661017
1978-12-28,1978-1979,679.3220339
1978-12-29,1978-1979,680.6779660999999
1978-12-30,1978-1979,682.0338983
1978-12-31,1978-1979,683.3898305
1979-01-01,1978-1979,684.7457627
1979-01-02,1978-1979,687.4576271
1979-01-03,1978-1979,690.1694914999999
1979-01-04,1978-1979,692.8813559
1979-01-05,1978-1979,695.5932203
1979-01-06,1978-1979,698.3050847
1979-01-07,1978-1979,703.3898304749999
1979-01-08,1978-1979,708.4745762499999
1979-01-09,1978-1979,713.559322025
1979-01-10,1978-1979,718.6440678
1979-01-11,1978-1979,718.6440678
1979-01-12,1978-1979,718.6440678
1979-01-13,1978-1979,718.6440678
1979-01-14,1978-1979,718.6440678
1979-01-15,1978-1979,718.6440678
1979-01-16,1978-1979,723.72881355
1979-01-17,1978-1979,728.8135593
1979-01-18,1978-1979,733.89830505
1979-01-19,1978-1979,738.9830508
1979-01-20,1978-1979,742.372881325
1979-01-21,1978-1979,745.76271185
1979-01-22,1978-1979,749.152542375
1979-01-23,1978-1979,752.5423729
1979-01-24,1978-1979,754.23728815
1979-01-25,1978-1979,755.9322033999999
1979-01-26,1978-1979,757.6271186499999
1979-01-27,1978-1979,759.3220339
1979-01-28,1978-1979,763.3898305
1979-01-29,1978-1979,767.4576271
1979-01-30,1978-1979,771.5254237
1979-01-31,1978-1979,775.5932203
1979-02-01,1978-1979,779.6610169
1979-02-02,1978-1979,783.050847425
1979-02-03,1978-1979,786.44067795
1979-02-04,1978-1979,789.830508475
1979-02-05,1978-1979,793.220339
1979-02-06,1978-1979,796.6101695
1979-02-07,1978-1979,800.0
1979-02-08,1978-1979,803.3898305
1979-02-09,1978-1979,806.779661
1979-02-10,1978-1979,809.49152542
1979-02-11,1978-1979,812.20338984
1979-02-12,1978-1979,814.91525426
1979-02-13,1978-1979,817.62711868
1979-02-14,1978-1979,820.3389831
1979-02-15,1978-1979,822.03389835
1979-02-16,1978-1979,823.7288136
1979-02-17,1978-1979,825.42372885
1979-02-18,1978-1979,827.1186441
1979-02-19,1978-1979,831.6384181
1979-02-20,1978-1979,836.1581921000001
1979-02-21,1978-1979,840.6779661
1979-02-22,1978-1979,847.45762712
1979-02-23,1978-1979,854.23728814
1979-02-24,1978-1979,861.01694916
1979-02-25,1978-1979,867.79661018
1979-02-26,1978-1979,874.5762712
1979-02-27,1978-1979,885.8757062333333
1979-02-28,1978-1979,897.1751412666666
1979-03-01,1978-1979,908.4745763
1979-03-02,1978-1979,911.8644068
1979-03-03,1978-1979,915.2542373
1979-03-04,1978-1979,918.6440678
1979-03-05,1978-1979,922.0338983
1979-03-06,1978-1979,932.20338985
1979-03-07,1978-1979,942.3728814
1979-03-08,1978-1979,946.8926554
1979-03-09,1978-1979,951.4124294000001
1979-03-10,1978-1979,955.9322034
1979-03-11,1978-1979,966.1016949
1979-03-12,1978-1979,976.2711864
1979-03-13,1978-1979,978.5310734333334
1979-03-14,1978-1979,980.7909604666667
1979-03-15,1978-1979,983.0508475
1979-03-16,1978-1979,985.3107345
1979-03-17,1978-1979,987.5706215
1979-03-18,1978-1979,989.8305085
1979-03-19,1978-1979,994.9152543749999
1979-03-20,1978-1979,1000.00000025
1979-03-21,1978-1979,1005.084746125
1979-03-22,1978-1979,1010.169492
1979-03-23,1978-1979,1030.508475
1979-03-24,1978-1979,1039.548023
1979-03-25,1978-1979,1048.587571
1979-03-26,1978-1979,1057.627119
1979-03-27,1978-1979,1071.1864409999998
1979-03-28,1978-1979,1084.745763
1979-03-29,1978-1979,1093.22033925
1979-03-30,1978-1979,1101.6949155
1979-03-31,1978-1979,1110.16949175
1979-04-01,1978-1979,1118.644068
1979-04-02,1978-1979,1127.683616
1979-04-03,1978-1979,1136.723164
1979-04-04,1978-1979,1145.762712
1979-04-05,1978-1979,1152.542373
1979-04-06,1978-1979,1159.322034
1979-04-07,1978-1979,1166.101695
1979-04-08,1978-1979,1170.621469
1979-04-09,1978-1979,1175.141243
1979-04-10,1978-1979,1179.661017
1979-04-11,1978-1979,1188.7005649999999
1979-04-12,1978-1979,1197.740113
1979-04-13,1978-1979,1206.779661
1979-04-14,1978-1979,1223.7288135
1979-04-15,1978-1979,1240.677966
