Date,T_min
1978-09-01,10.6
1978-09-02,7.9
1978-09-03,6
1978-09-04,6.6
1978-09-05,11.8
1978-09-06,12.5
1978-09-07,13.1
1978-09-08,8.9
1978-09-09,12.7
1978-09-10,15.2
1978-09-11,15.1
1978-09-12,8.2
1978-09-13,11.7
1978-09-14,9.9
1978-09-15,9.1
1978-09-16,8.5
1978-09-17,11
1978-09-18,5.7
1978-09-19,6.4
1978-09-20,4.5
1978-09-21,10.6
1978-09-22,8.3
1978-09-23,7.2
1978-09-24,12
1978-09-25,12.5
1978-09-26,4.3
1978-09-27,10.2
1978-09-28,8.1
1978-09-29,9.7
1978-09-30,6.9
1978-10-01,8.2
1978-10-02,3.6
1978-10-03,5.3
1978-10-04,3.8
1978-10-05,6.7
1978-10-06,8.6
1978-10-07,5.1
1978-10-08,3.4
1978-10-09,11.6
1978-10-10,11
1978-10-11,10.9
1978-10-12,8.5
1978-10-13,8.2
1978-10-14,8.8
1978-10-15,10.5
1978-10-16,7.2
1978-10-17,6.9
1978-10-18,2.8
1978-10-19,7.1
1978-10-20,9.2
1978-10-21,4.9
1978-10-22,8.2
1978-10-23,4.1
1978-10-24,6
1978-10-25,10.9
1978-10-26,11.6
1978-10-27,10.5
1978-10-28,4
1978-10-29,4.2
1978-10-30,8.4
1978-10-31,9.4
1978-11-01,7.9
1978-11-02,11.6
1978-11-03,4.6
1978-11-04,5.6
1978-11-05,8.1
1978-11-06,8.6
1978-11-07,6
1978-11-08,10.5
1978-11-09,4.5
1978-11-10,5.6
1978-11-11,5.5
1978-11-12,5.5
1978-11-13,3.3
1978-11-14,4.6
1978-11-15,10.6
1978-11-16,4.1
1978-11-17,5
1978-11-18,7.8
1978-11-19,12.3
1978-11-20,1
1978-11-21,3
1978-11-22,9.4
1978-11-23,8.6
1978-11-24,8.2
1978-11-25,0.4
1978-11-26,-1
1978-11-27,-4.1
1978-11-28,-2.9
1978-11-29,-3
1978-11-30,-6.6
1978-12-01,-4.9
1978-12-02,-2.6
1978-12-03,0.8
1978-12-04,3.6
1978-12-05,-2.4
1978-12-06,-0.4
1978-12-07,-1.2
1978-12-08,0.8
1978-12-09,6.2
1978-12-10,7
1978-12-11,8.3
1978-12-12,8.2
1978-12-13,5.5
1978-12-14,3.9
1978-12-15,1.7
1978-12-16,3.6
1978-12-17,0.6
1978-12-18,-1.8
1978-12-19,-5.5
1978-12-20,-3.7
1978-12-21,-1
1978-12-22,-3.6
1978-12-23,-4
1978-12-24,-3
1978-12-25,2.1
1978-12-26,3
1978-12-27,6.7
1978-12-28,6.7
1978-12-29,7
1978-12-30,0.1
1978-12-31,-5.8
1979-01-01,-9.4
1979-01-02,-9
1979-01-03,-10.4
1979-01-04,-10.9
1979-01-05,-5.9
1979-01-06,-9.4
1979-01-07,-8.2
1979-01-08,3.4
1979-01-09,0.5
1979-01-10,-0.7
1979-01-11,-0.3
1979-01-12,-1.5
1979-01-13,-7.1
1979-01-14,-8.3
1979-01-15,-1.5
1979-01-16,1.6
1979-01-17,0.2
1979-01-18,-1.4
1979-01-19,-2.5
1979-01-20,-1.9
1979-01-21,-3.7
1979-01-22,-3.2
1979-01-23,-3.4
1979-01-24,-5.4
1979-01-25,-5
1979-01-26,-4.6
1979-01-27,-10.6
1979-01-28,-13.1
1979-01-29,-3.7
1979-01-30,-3.2
1979-01-31,-4.5
1979-02-01,-0.1
1979-02-02,0
1979-02-03,-3.4
1979-02-04,-1.6
1979-02-05,-0.6
1979-02-06,-3.4
1979-02-07,-1.4
1979-02-08,-2.2
1979-02-09,-0.5
1979-02-10,-0.4
1979-02-11,0
1979-02-12,-1.1
1979-02-13,-0.9
1979-02-14,-2.1
1979-02-15,-5.2
1979-02-16,-5
1979-02-17,-3
