JDay,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,0,0,0,0,0,0,0,3.926666667,25.30625,45.47125,54.84666667,54.70708333,43.53875,27.26541667,8.526666667,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,4.183333333,29.11791667,52.62291667,69.21125,70.06041667,58.63625,36.23083333,10.32541667,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,4.174166667,25.57375,43.4475,58.10041667,61.21083333,49.92,31.24208333,9.947083333,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,3.978333333,27.0925,44.23708333,55.69541667,58.74916667,48.42291667,31.88416667,10.34666667,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,4.200833333,27.66625,50.77208333,63.56541667,63.92666667,52.59416667,31.74916667,10.51041667,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,4.043333333,28.40875,48.75291667,60.575,64.34458333,53.13625,34.91416667,12.28458333,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,4.495833333,28.5625,47.43208333,61.94541667,62.10666667,55.025,35.225,13.07708333,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,4.1275,27.13875,41.15208333,54.945,59.71416667,49.86041667,32.97125,13.26833333,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,4.568333333,31.19958333,57.06291667,74.86625,78.145,63.5225,39.95416667,15.73791667,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,4.36125,25.20083333,43.37,60.80041667,62.83791667,54.1425,35.46208333,14.34375,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,5.245,31.34916667,53.87458333,70.60833333,73.26916667,58.35208333,37.04041667,15.58333333,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,5.074166667,28.745,45.6525,57.34583333,60.56208333,52.06875,36.97916667,16.28958333,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,5.766666667,31.11458333,55.93208333,73.16416667,77.37208333,64.71041667,43.61291667,19.04458333,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,5.457916667,31.25791667,58.31208333,70.19666667,72.89083333,61.99666667,41.23083333,18.78458333,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,5.6875,30.59333333,49.7025,68.69083333,74.57666667,65.89333333,45.51791667,21.53,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,6.212916667,33.73458333,56.87958333,75.13166667,77.77,68.05166667,46.69458333,22.17916667,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,6.743333333,32.82833333,58.77083333,78.45666667,84.22458333,73.115,48.85,22.07916667,0.14875,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,7.263333333,37.73833333,65.48958333,84.92125,84.54916667,72.95791667,50.78291667,22.91458333,1.407083333,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,7.727916667,36.45208333,67.42791667,83.96541667,86.95666667,76.20458333,53.78041667,23.60625,1.6625,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,7.61375,33.42333333,60.24375,77.55416667,81.76166667,71.795,50.00541667,21.73791667,1.77625,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,7.879166667,34.87166667,59.58291667,75.13125,80.62041667,68.51625,47.32125,23.60416667,2.022083333,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,8.656666667,38.64,62.13541667,77.83375,81.61375,71.60833333,49.01583333,21.47041667,2.15125,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,8.697916667,31.79791667,53.425,68.65291667,74.13333333,66.22541667,46.8175,22.76708333,2.463333333,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,9.914166667,34.84166667,61.30166667,78.45666667,85.44041667,74.86416667,57.06791667,26.94833333,2.912916667,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,10.535,33.79875,59.85541667,75.47708333,78.53583333,67.0075,49.405,22.24208333,3.011666667,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,10.50458333,34.82916667,64.7325,80.71833333,84.13166667,72.74625,52.06083333,25.03375,3.103333333,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,12.44708333,40.53875,69.99625,85.00625,87.355,76.45416667,53.73708333,25.26416667,3.552916667,0,0,0,0,0,0,0
