JDay,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1.0,4.2532,4.2164,4.259600000000001,4.247199999999999,4.2112,4.2192,4.2916,4.3764,4.5312,5.064,5.7068,6.316,6.6344,6.6324000000000005,6.2708,5.5416,5.136,5.0572,4.9708,4.8751999999999995,4.7632,4.6419999999999995,4.4788,4.3164
2.0,4.2,4.1384,4.08,3.9044,3.6584000000000003,3.4915999999999996,3.3284000000000002,3.1392,3.1039999999999996,3.6632,4.4376,5.254,5.832000000000001,5.9744,5.626799999999999,4.6124,3.792,3.4712,3.1956,2.9539999999999997,2.7244,2.6608000000000005,2.6832,2.6672000000000002
3.0,2.6404,2.654,2.6859999999999995,2.642,2.5488,2.5356,2.5972000000000004,2.6759999999999997,2.9016,3.5824000000000003,4.3332,5.005199999999999,5.406000000000001,5.5168,5.2352,4.466,3.8076,3.56,3.4788,3.4824,3.4728,3.3895999999999997,3.256,3.1504000000000003
4.0,2.9859999999999998,2.8548,2.7932,2.7460000000000004,2.722,2.6916,2.6768,2.6460000000000004,2.7207999999999997,3.3183999999999996,4.064,4.7748,5.2372000000000005,5.3824000000000005,5.0927999999999995,4.2004,3.5183999999999997,3.2756,3.108,3.0012,2.8704,2.738,2.7224,2.7268
5.0,2.7308,2.7624,2.8268,2.8736,2.9232,2.9759999999999995,2.9788,2.8971999999999998,2.8952,3.4396,4.2304,5.0404,5.6096,5.8216,5.636800000000001,4.934,4.4752,4.3688,4.2432,4.0588,3.892,3.7668,3.6712000000000002,3.5208
6.0,3.34,3.2076,3.0595999999999997,2.8888,2.7036000000000002,2.6092,2.5076,2.3784,2.362,2.958,3.7628,4.5068,5.0088,5.1324000000000005,4.8652,4.0152,3.4824,3.4915999999999996,3.4012000000000002,3.3339999999999996,3.2656,3.2264,3.2012,3.122
7.0,3.0068,2.9372,2.9583999999999997,3.01,3.0195999999999996,2.9960000000000004,2.9356,2.9288,3.0692000000000004,3.7,4.4792000000000005,5.23,5.8020000000000005,6.055599999999999,5.8196,4.9832,4.31,4.078,3.8868,3.7636000000000003,3.6508,3.5216000000000003,3.4124,3.336
8.0,3.3132,3.3136,3.2807999999999997,3.1839999999999997,3.1856,3.1812,3.2060000000000004,3.252,3.4368,4.1384,4.8412,5.5312,5.9972,6.0291999999999994,5.6688,4.8568,4.1819999999999995,3.8724000000000003,3.5951999999999997,3.3615999999999997,3.1563999999999997,3.0660000000000003,3.0260000000000002,2.9756
9.0,2.8956,2.9144,2.9736000000000002,3.0032,2.9312,2.7904,2.6908,2.6552,2.7324,3.2939999999999996,4.0931999999999995,4.938,5.5576,5.7943999999999996,5.521599999999999,4.513999999999999,3.742,3.4791999999999996,3.23,3.0388,2.9256,2.8248,2.7072,2.6912000000000003
10.0,2.708,2.7068,2.6612,2.6604,2.7119999999999997,2.7572,2.79,2.8472000000000004,3.0964,3.638,4.2412,4.921600000000001,5.522,5.8187999999999995,5.676,4.8836,4.1612,3.986,3.8968000000000003,3.8636,3.7908,3.734,3.6092,3.4939999999999998
