Date,Stage,Stage Length,Daily Degree Days,Stage Sum Degree Days,Total Degree Days
1978-09-22,Seeding,1,13.950000000000003,13.950000000000003,13.950000000000003
1978-09-23,Seeding,2,14.65,28.6,28.6
1978-09-24,Seeding,3,16.349999999999998,44.95,44.95
1978-09-25,Seeding,4,14.25,59.2,59.2
1978-09-26,Seeding,5,9.899999999999997,69.1,69.1
1978-09-27,Seeding,6,12.299999999999999,81.39999999999999,81.39999999999999
1978-09-28,Seeding,7,10.5,91.89999999999999,91.89999999999999
1978-09-29,Seeding,8,11.35,103.24999999999999,103.24999999999999
1978-09-30,Seeding,9,8.200000000000001,111.44999999999999,111.44999999999999
1978-10-01,Seeding,10,10.3,121.74999999999999,121.74999999999999
1978-10-02,Seeding,11,8.350000000000001,130.1,130.1
1978-10-03,Seeding,12,8.25,138.35,138.35
1978-10-04,Seeding,13,8.200000000000001,146.54999999999998,146.54999999999998
1978-10-05,Seeding,14,11.95,158.49999999999997,158.49999999999997
1978-10-06,Emergence,1,0.33243509877862526,0.33243509877862526,158.8324350987786
1978-10-07,Emergence,2,0.44948270588673356,0.7819178046653588,159.28191780466534
1978-10-08,Emergence,3,0.5621852011081717,1.3441030057735306,159.84410300577352
1978-10-09,Emergence,4,0.8166011954944677,2.1607042012679982,160.66070420126798
1978-10-10,Emergence,5,1.0137188021471892,3.1744230034151872,161.67442300341517
1978-10-11,Emergence,6,1.28751492040521,4.461937923820397,162.9619379238204
1978-10-12,Emergence,7,1.2949094395738505,5.756847363394248,164.25684736339423
1978-10-13,Emergence,8,1.04965908679503,6.806506450189278,165.30650645018926
1978-10-14,Emergence,9,1.231144803256901,8.037651253446178,166.53765125344617
1978-10-15,Emergence,10,1.6346305660173919,9.67228181946357,168.17228181946356
1978-10-16,Emergence,11,1.4034363227555235,11.075718142219094,169.57571814221907
1978-10-17,Emergence,12,1.3472621126944102,12.422980254913504,170.92298025491348
1978-10-18,Emergence,13,1.3040566329566055,13.72703688787011,172.2270368878701
1978-10-19,Emergence,14,1.8306341637882353,15.557671051658346,174.05767105165833
1978-10-20,Emergence,15,2.479015915870412,18.03668696752876,176.53668696752874
1978-10-21,Emergence,16,2.055719972860185,20.092406940388944,178.5924069403889
1978-10-22,Emergence,17,2.876842574808215,22.96924951519716,181.46924951519713
1978-10-23,Emergence,18,2.4023885467338717,25.37163806193103,183.871638061931
1978-10-24,Emergence,19,3.26340581162531,28.63504387355634,187.13504387355633
1978-10-25,Emergence,20,3.8861958695365315,32.52123974309287,191.02123974309285
1978-10-26,Emergence,21,3.7613006468885444,36.28254038998141,194.7825403899814
1978-10-27,Emergence,22,3.820176493078154,40.102716883059564,198.60271688305954
1978-10-28,Emergence,23,2.669360480258414,42.772077363317976,201.27207736331795
1978-10-29,Emergence,24,2.956028874225382,45.72810623754336,204.22810623754333
1978-10-30,Emergence,25,3.754780197574952,49.48288643511831,207.98288643511827
1978-10-31,Emergence,26,4.219009204370282,53.70189563948859,212.20189563948855
1978-11-01,Emergence,27,4.443488574915162,58.145384214403755,216.64538421440372
1978-11-02,Emergence,28,5.16281458890831,63.30819880331207,221.80819880331202
1978-11-03,Emergence,29,3.178821078579861,66.48701988189192,224.98701988189188
1978-11-04,Emergence,30,3.967623980381794,70.45464386227371,228.95464386227368
1978-11-05,Emergence,31,4.675900319793873,75.13054418206758,233.63054418206755
1978-11-06,Emergence,32,4.243903275833042,79.37444745790063,237.8744474579006
1978-11-07,Emergence,33,4.7201621042476205,84.09460956214825,242.5946095621482
1978-11-08,Emergence,34,6.188318334824508,90.28292789697275,248.78292789697272
1978-11-09,Emergence,35,4.3032735816672405,94.58620147863999,253.08620147863996
1978-11-10,Emergence,36,3.221130338775252,97.80733181741525,256.3073318174152
1978-11-11,Emergence,37,2.95155949669376,100.75889131410901,259.25889131410895
1978-11-12,Emergence,38,4.28016858470735,105.03905989881636,263.5390598988163
1978-11-13,Emergence,39,3.201729246719167,108.24078914553553,266.7407891455354
1978-11-14,Emergence,40,4.140939948079551,112.38172909361508,270.881729093615
1978-11-15,Emergence,41,5.421725744767019,117.8034548383821,276.303454838382
1978-11-16,Emergence,42,3.109429458971923,120.91288429735401,279.4128842973539
1978-11-17,Emergence,43,4.037221794142458,124.95010609149647,283.45010609149637
1978-11-18,Emergence,44,5.1546407723060055,130.10474686380246,288.60474686380235
1978-11-19,Emergence,45,5.7226785814360674,135.82742544523853,294.3274254452384
1978-11-20,Emergence,46,2.201470479950656,138.02889592518918,296.5288959251891
1978-11-21,Emergence,47,3.4108478282801395,141.43974375346932,299.9397437534692
1978-11-22,Emergence,48,5.120580168142905,146.56032392161222,305.0603239216121
1978-11-23,Emergence,49,4.641733848344023,151.20205776995624,309.7020577699561
1978-11-24,Emergence,50,4.60040411907207,155.8024618890283,314.3024618890282
1978-11-25,Emergence,51,0.983949554834717,156.78641144386302,315.28641144386296
1978-11-26,Emergence,52,0.43045922531391445,157.21687066917693,315.7168706691769
1978-11-27,Emergence,53,0.11916415922825921,157.3360348284052,315.83603482840516
1978-11-28,Emergence,54,0.11877055640824777,157.45480538481343,315.9548053848134
1978-11-29,Emergence,55,0.33149604869298,157.7863014335064,316.2863014335064
1978-11-30,Emergence,56,0.30687038312597503,158.09317181663238,316.5931718166324
1978-12-01,Emergence,57,0.0,158.09317181663238,316.5931718166324
1978-12-02,Emergence,58,0.844872959771533,158.9380447764039,317.4380447764039
1978-12-03,Emergence,59,1.1000321241314017,160.0380769005353,318.5380769005353
1978-12-04,Emergence,60,2.357775645918427,162.3958525464537,320.89585254645374
1978-12-05,Emergence,61,0.7451794819931649,163.1410320284469,321.6410320284469
1978-12-06,Emergence,62,3.869007707197606e-17,163.1410320284469,321.6410320284469
1978-12-07,Emergence,63,1.2981708368553808,164.43920286530226,322.93920286530226
