Date,T_max
1978-09-01,14.6
1978-09-02,17.2
1978-09-03,19.3
1978-09-04,19.2
1978-09-05,17.8
1978-09-06,20
1978-09-07,20.2
1978-09-08,19.8
1978-09-09,20.7
1978-09-10,24
1978-09-11,19.2
1978-09-12,18.7
1978-09-13,21.4
1978-09-14,18.6
1978-09-15,20
1978-09-16,21.9
1978-09-17,18.1
1978-09-18,18.1
1978-09-19,16.6
1978-09-20,19
1978-09-21,22.1
1978-09-22,21.6
1978-09-23,24.1
1978-09-24,22.7
1978-09-25,18
1978-09-26,17.5
1978-09-27,16.4
1978-09-28,14.9
1978-09-29,15
1978-09-30,11.5
1978-10-01,14.4
1978-10-02,15.1
1978-10-03,13.2
1978-10-04,14.6
1978-10-05,19.2
1978-10-06,19
1978-10-07,19.9
1978-10-08,19.8
1978-10-09,16
1978-10-10,19.3
1978-10-11,24.3
1978-10-12,23.5
1978-10-13,13.9
1978-10-14,13.2
1978-10-15,15.6
1978-10-16,12.9
1978-10-17,10.3
1978-10-18,12.4
1978-10-19,11.7
1978-10-20,14
1978-10-21,13.4
1978-10-22,15.4
1978-10-23,14.9
1978-10-24,18.2
1978-10-25,16.8
1978-10-26,14.4
1978-10-27,15
1978-10-28,13.6
1978-10-29,14.3
1978-10-30,13.7
1978-10-31,14.4
1978-11-01,16.4
1978-11-02,15.8
1978-11-03,12.4
1978-11-04,14.5
1978-11-05,14.6
1978-11-06,11.5
1978-11-07,15.6
1978-11-08,16.8
1978-11-09,14.6
1978-11-10,9
1978-11-11,8.1
1978-11-12,13.4
1978-11-13,11.4
1978-11-14,13.9
1978-11-15,13.1
1978-11-16,10.4
1978-11-17,13.3
1978-11-18,15.1
1978-11-19,13
1978-11-20,10
1978-11-21,13
1978-11-22,13.7
1978-11-23,12.6
1978-11-24,12.9
1978-11-25,5.7
1978-11-26,3.8
1978-11-27,2.5
1978-11-28,2.5
1978-11-29,3.4
1978-11-30,3.3
1978-12-01,1.2
1978-12-02,5.6
1978-12-03,5.9
1978-12-04,8.5
1978-12-05,5.2
1978-12-06,2
1978-12-07,7.6
