Date,Min_Temp,Max_Temp,Mean_Temp
1978-09-01,10.6,14.6,12.6
1978-09-02,7.9,17.2,12.55
1978-09-03,6,19.3,12.65
1978-09-04,6.6,19.2,12.9
1978-09-05,11.8,17.8,14.8
1978-09-06,12.5,20,16.25
1978-09-07,13.1,20.2,16.65
1978-09-08,8.9,19.8,14.35
1978-09-09,12.7,20.7,16.7
1978-09-10,15.2,24,19.6
1978-09-11,15.1,19.2,17.15
1978-09-12,8.2,18.7,13.45
1978-09-13,11.7,21.4,16.55
1978-09-14,9.9,18.6,14.25
1978-09-15,9.1,20,14.55
1978-09-16,8.5,21.9,15.2
1978-09-17,11,18.1,14.55
1978-09-18,5.7,18.1,11.9
1978-09-19,6.4,16.6,11.5
1978-09-20,4.5,19,11.75
1978-09-21,10.6,22.1,16.35
1978-09-22,8.3,21.6,14.95
1978-09-23,7.2,24.1,15.65
1978-09-24,12,22.7,17.35
1978-09-25,12.5,18,15.25
1978-09-26,4.3,17.5,10.9
1978-09-27,10.2,16.4,13.3
1978-09-28,8.1,14.9,11.5
1978-09-29,9.7,15,12.35
1978-09-30,6.9,11.5,9.2
1978-10-01,8.2,14.4,11.3
1978-10-02,3.6,15.1,9.35
1978-10-03,5.3,13.2,9.25
1978-10-04,3.8,14.6,9.2
1978-10-05,6.7,19.2,12.95
1978-10-06,8.6,19,13.8
1978-10-07,5.1,19.9,12.5
1978-10-08,3.4,19.8,11.6
1978-10-09,11.6,16,13.8
1978-10-10,11,19.3,15.15
1978-10-11,10.9,24.3,17.6
1978-10-12,8.5,23.5,16
1978-10-13,8.2,13.9,11.05
1978-10-14,8.8,13.2,11
1978-10-15,10.5,15.6,13.05
1978-10-16,7.2,12.9,10.05
1978-10-17,6.9,10.3,8.6
1978-10-18,2.8,12.4,7.6
1978-10-19,7.1,11.7,9.4
1978-10-20,9.2,14,11.6
1978-10-21,4.9,13.4,9.15
1978-10-22,8.2,15.4,11.8
1978-10-23,4.1,14.9,9.5
1978-10-24,6,18.2,12.1
1978-10-25,10.9,16.8,13.85
1978-10-26,11.6,14.4,13
1978-10-27,10.5,15,12.75
1978-10-28,4,13.6,8.8
1978-10-29,4.2,14.3,9.25
1978-10-30,8.4,13.7,11.05
1978-10-31,9.4,14.4,11.9
1978-11-01,7.9,16.4,12.15
1978-11-02,11.6,15.8,13.7
1978-11-03,4.6,12.4,8.5
1978-11-04,5.6,14.5,10.05
1978-11-05,8.1,14.6,11.35
1978-11-06,8.6,11.5,10.05
1978-11-07,6,15.6,10.8
1978-11-08,10.5,16.8,13.65
1978-11-09,4.5,14.6,9.55
1978-11-10,5.6,9,7.3
1978-11-11,5.5,8.1,6.8
1978-11-12,5.5,13.4,9.45
1978-11-13,3.3,11.4,7.35
1978-11-14,4.6,13.9,9.25
