Date,Mean Temp,Min Temp,Max Temp
1978-09-01,12.6,10.6,14.6
1978-09-02,12.55,7.9,17.2
1978-09-03,12.65,6,19.3
1978-09-04,12.9,6.6,19.2
1978-09-05,14.8,11.8,17.8
1978-09-06,16.25,12.5,20
1978-09-07,16.65,13.1,20.2
1978-09-08,14.35,8.9,19.8
1978-09-09,16.7,12.7,20.7
1978-09-10,19.6,15.2,24
1978-09-11,17.15,15.1,19.2
1978-09-12,13.45,8.2,18.7
1978-09-13,16.55,11.7,21.4
1978-09-14,14.25,9.9,18.6
1978-09-15,14.55,9.1,20
1978-09-16,15.2,8.5,21.9
1978-09-17,14.55,11,18.1
1978-09-18,11.9,5.7,18.1
1978-09-19,11.5,6.4,16.6
1978-09-20,11.75,4.5,19
1978-09-21,16.35,10.6,22.1
1978-09-22,14.95,8.3,21.6
1978-09-23,15.65,7.2,24.1
1978-09-24,17.35,12,22.7
1978-09-25,15.25,12.5,18
1978-09-26,10.9,4.3,17.5
1978-09-27,13.3,10.2,16.4
1978-09-28,11.5,8.1,14.9
1978-09-29,12.35,9.7,15
1978-09-30,9.2,6.9,11.5
1978-10-01,11.3,8.2,14.4
1978-10-02,9.35,3.6,15.1
1978-10-03,9.25,5.3,13.2
1978-10-04,9.2,3.8,14.6
1978-10-05,12.95,6.7,19.2
1978-10-06,13.8,8.6,19
1978-10-07,12.5,5.1,19.9
1978-10-08,11.6,3.4,19.8
1978-10-09,13.8,11.6,16
1978-10-10,15.15,11,19.3
1978-10-11,17.6,10.9,24.3
1978-10-12,16,8.5,23.5
1978-10-13,11.05,8.2,13.9
1978-10-14,11,8.8,13.2
1978-10-15,13.05,10.5,15.6
1978-10-16,10.05,7.2,12.9
1978-10-17,8.6,6.9,10.3
1978-10-18,7.6,2.8,12.4
1978-10-19,9.4,7.1,11.7
1978-10-20,11.6,9.2,14
1978-10-21,9.15,4.9,13.4
1978-10-22,11.8,8.2,15.4
1978-10-23,9.5,4.1,14.9
1978-10-24,12.1,6,18.2
1978-10-25,13.85,10.9,16.8
1978-10-26,13,11.6,14.4
1978-10-27,12.75,10.5,15
1978-10-28,8.8,4,13.6
1978-10-29,9.25,4.2,14.3
