YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2015,1,1,8.37,7.7,8.04,7.98,5.47,11.28,5.81
2015,1,2,5.98,3.18,4.58,5.33,10.41,11.81,1.4
2015,1,3,2.04,1.52,1.78,1.86,2.39,3.28,0.89
2015,1,4,0.09,-0.36,-0.14,0.09,4.62,2.46,-2.16
2015,1,5,5.58,5.38,5.48,5.17,5.0,7.85,2.85
2015,1,6,5.17,4.69,4.93,4.66,8.24,8.99,0.75
2015,1,7,5.04,4.27,4.65,4.63,7.75,8.93,1.18
2015,1,8,7.05,6.32,6.69,6.5,5.47,9.9,4.43
2015,1,9,10.17,8.81,9.49,9.69,7.34,12.93,5.59
2015,1,10,7.28,4.24,5.76,6.79,10.74,12.11,1.37
2015,1,11,3.94,2.44,3.19,3.56,5.08,6.36,1.28
2015,1,12,8.67,7.58,8.12,8.23,3.95,10.4,6.45
2015,1,13,5.11,3.79,4.45,4.81,7.16,8.81,1.65
2015,1,14,3.63,1.9,2.76,3.34,7.22,8.17,0.95
2015,1,15,5.7,3.42,4.56,5.17,7.11,10.09,2.98
2015,1,16,1.97,0.88,1.43,1.52,8.64,5.66,-2.98
2015,1,17,0.66,-0.09,0.28,0.24,6.72,3.69,-3.03
2015,1,18,0.25,-0.15,0.05,0.01,5.08,2.92,-2.16
2015,1,19,-0.52,-1.27,-0.89,-1.43,5.26,2.71,-2.55
2015,1,20,-0.37,-0.91,-0.64,-0.71,5.7,2.63,-3.07
2015,1,21,0.61,0.21,0.41,0.22,4.85,3.19,-1.66
2015,1,22,-0.62,-1.65,-1.13,-1.8,6.01,3.23,-2.78
2015,1,23,-0.17,-0.96,-0.56,-0.74,8.63,4.28,-4.35
2015,1,24,1.41,0.85,1.13,0.83,6.5,5.1,-1.4
2015,1,25,3.22,2.56,2.89,2.78,8.73,7.05,-1.68
2015,1,26,5.62,4.33,4.98,5.17,5.75,7.48,1.73
2015,1,27,4.12,3.08,3.6,4.01,6.31,8.19,1.88
2015,1,28,4.67,2.34,3.51,4.25,7.18,8.96,1.78
2015,1,29,1.16,0.07,0.61,0.86,4.08,3.52,-0.56
2015,1,30,1.28,0.48,0.88,0.91,5.25,4.22,-1.03
2015,1,31,1.21,0.1,0.65,0.8,4.36,3.36,-1.0
2015,2,1,0.44,-1.53,-0.54,-0.04,7.2,3.17,-4.03
2015,2,2,-1.58,-3.11,-2.35,-1.88,6.05,1.94,-4.11
2015,2,3,0.0,-0.96,-0.48,-0.12,5.43,3.52,-1.91
2015,2,4,0.35,-0.48,-0.07,0.2,5.12,3.4,-1.72
2015,2,5,-0.03,-1.05,-0.54,-0.39,5.14,2.89,-2.25
2015,2,6,-0.67,-2.39,-1.53,-1.2,6.93,3.84,-3.09
2015,2,7,1.49,1.06,1.27,1.21,7.15,4.94,-2.21
2015,2,8,1.8,0.93,1.37,1.64,7.68,6.7,-0.98
2015,2,9,3.49,2.93,3.21,3.22,6.4,7.82,1.42
2015,2,10,2.62,1.8,2.21,2.65,5.07,5.56,0.49
2015,2,11,2.54,0.98,1.76,2.0,5.46,5.54,0.08
2015,2,12,1.65,0.17,0.91,1.03,5.2,4.5,-0.7
2015,2,13,4.62,4.18,4.4,4.35,6.86,7.02,0.16
2015,2,14,5.41,4.7,5.06,5.2,4.17,8.07,3.9
2015,2,15,4.63,3.83,4.23,4.1,7.78,8.49,0.71
2015,2,16,3.78,3.39,3.58,3.55,5.88,6.98,1.1
2015,2,17,2.5,0.19,1.35,2.31,8.17,7.96,-0.21
2015,2,18,3.8,2.19,2.99,3.62,9.75,9.22,-0.53
2015,2,19,5.88,4.8,5.34,5.67,3.12,7.59,4.47
2015,2,20,3.9,2.31,3.11,3.87,6.33,6.88,0.55
2015,2,21,2.08,0.77,1.42,1.93,6.04,5.41,-0.63
2015,2,22,2.69,1.7,2.2,2.6,9.53,7.98,-1.55
2015,2,23,3.34,1.52,2.43,2.96,3.83,5.27,1.44
2015,2,24,4.27,1.82,3.05,4.01,5.39,7.8,2.41
2015,2,25,6.62,5.02,5.82,6.57,7.71,10.52,2.81
2015,2,26,6.31,5.03,5.67,5.8,11.0,10.8,-0.2
2015,2,27,2.81,0.2,1.5,2.78,8.76,7.84,-0.92
2015,2,28,6.3,5.64,5.97,6.01,7.43,9.29,1.86
2015,3,1,6.53,3.38,4.96,6.26,7.63,9.45,1.82
2015,3,2,2.91,0.12,1.51,2.74,4.91,6.09,1.18
2015,3,3,2.88,0.48,1.67,2.63,6.15,6.48,0.33
2015,3,4,3.25,0.89,2.07,3.13,9.0,8.58,-0.42
2015,3,5,3.74,2.31,3.03,3.64,11.26,9.33,-1.93
