Date,T_min
01/09/1978,10.6
02/09/1978,7.9
03/09/1978,6
04/09/1978,6.6
05/09/1978,11.8
06/09/1978,12.5
07/09/1978,13.1
08/09/1978,8.9
09/09/1978,12.7
10/09/1978,15.2
11/09/1978,15.1
12/09/1978,8.2
13/09/1978,11.7
14/09/1978,9.9
15/09/1978,9.1
16/09/1978,8.5
17/09/1978,11
18/09/1978,5.7
19/09/1978,6.4
20/09/1978,4.5
21/09/1978,10.6
22/09/1978,8.3
23/09/1978,7.2
24/09/1978,12
25/09/1978,12.5
26/09/1978,4.3
27/09/1978,10.2
28/09/1978,8.1
29/09/1978,9.7
30/09/1978,6.9
01/10/1978,8.2
02/10/1978,3.6
03/10/1978,5.3
04/10/1978,3.8
05/10/1978,6.7
06/10/1978,8.6
07/10/1978,5.1
08/10/1978,3.4
09/10/1978,11.6
10/10/1978,11
11/10/1978,10.9
12/10/1978,8.5
13/10/1978,8.2
14/10/1978,8.8
15/10/1978,10.5
16/10/1978,7.2
17/10/1978,6.9
18/10/1978,2.8
19/10/1978,7.1
20/10/1978,9.2
21/10/1978,4.9
22/10/1978,8.2
23/10/1978,4.1
24/10/1978,6
25/10/1978,10.9
26/10/1978,11.6
27/10/1978,10.5
28/10/1978,4
29/10/1978,4.2
30/10/1978,8.4
31/10/1978,9.4
01/11/1978,7.9
02/11/1978,11.6
03/11/1978,4.6
04/11/1978,5.6
05/11/1978,8.1
06/11/1978,8.6
07/11/1978,6
08/11/1978,10.5
09/11/1978,4.5
10/11/1978,5.6
11/11/1978,5.5
12/11/1978,5.5
13/11/1978,3.3
14/11/1978,4.6
15/11/1978,10.6
16/11/1978,4.1
17/11/1978,5
18/11/1978,7.8
19/11/1978,12.3
20/11/1978,1
21/11/1978,3
22/11/1978,9.4
23/11/1978,8.6
24/11/1978,8.2
25/11/1978,0.4
26/11/1978,-1
27/11/1978,-4.1
28/11/1978,-2.9
29/11/1978,-3
30/11/1978,-6.6
01/12/1978,-4.9
02/12/1978,-2.6
03/12/1978,0.8
04/12/1978,3.6
05/12/1978,-2.4
06/12/1978,-0.4
07/12/1978,-1.2
08/12/1978,0.8
09/12/1978,6.2
10/12/1978,7
11/12/1978,8.3
12/12/1978,8.2
13/12/1978,5.5
14/12/1978,3.9
15/12/1978,1.7
16/12/1978,3.6
17/12/1978,0.6
18/12/1978,-1.8
19/12/1978,-5.5
20/12/1978,-3.7
21/12/1978,-1
22/12/1978,-3.6
23/12/1978,-4
24/12/1978,-3
25/12/1978,2.1
26/12/1978,3
27/12/1978,6.7
28/12/1978,6.7
29/12/1978,7
30/12/1978,0.1
31/12/1978,-5.8
01/01/1979,-9.4
02/01/1979,-9
03/01/1979,-10.4
04/01/1979,-10.9
05/01/1979,-5.9
06/01/1979,-9.4
07/01/1979,-8.2
08/01/1979,3.4
09/01/1979,0.5
10/01/1979,-0.7
11/01/1979,-0.3
12/01/1979,-1.5
13/01/1979,-7.1
14/01/1979,-8.3
15/01/1979,-1.5
16/01/1979,1.6
17/01/1979,0.2
18/01/1979,-1.4
19/01/1979,-2.5
20/01/1979,-1.9
21/01/1979,-3.7
22/01/1979,-3.2
23/01/1979,-3.4
24/01/1979,-5.4
25/01/1979,-5
26/01/1979,-4.6
27/01/1979,-10.6
28/01/1979,-13.1
29/01/1979,-3.7
30/01/1979,-3.2
31/01/1979,-4.5
01/02/1979,-0.1
02/02/1979,0
03/02/1979,-3.4
04/02/1979,-1.6
05/02/1979,-0.6
06/02/1979,-3.4
07/02/1979,-1.4
08/02/1979,-2.2
09/02/1979,-0.5
10/02/1979,-0.4
11/02/1979,0
12/02/1979,-1.1
13/02/1979,-0.9
14/02/1979,-2.1
15/02/1979,-5.2
16/02/1979,-5
17/02/1979,-3
18/02/1979,-3.4
19/02/1979,-2.7
20/02/1979,-1
21/02/1979,-0.6
22/02/1979,-0.5
23/02/1979,0.4
24/02/1979,0.7
25/02/1979,-4.7
26/02/1979,-4.1
27/02/1979,-1.9
28/02/1979,0.5
01/03/1979,-2.2
02/03/1979,2
03/03/1979,8.1
04/03/1979,3
05/03/1979,-1.1
06/03/1979,2.7
07/03/1979,0.1
08/03/1979,-0.9
09/03/1979,2.6
10/03/1979,0
11/03/1979,0.7
12/03/1979,3
13/03/1979,2.9
14/03/1979,0.9
15/03/1979,-0.1
16/03/1979,-0.6
17/03/1979,-0.5
18/03/1979,-0.5
19/03/1979,1.2
20/03/1979,1.9
21/03/1979,2.1
22/03/1979,-0.7
23/03/1979,-2.1
24/03/1979,-2.4
25/03/1979,3.5
26/03/1979,2.4
27/03/1979,1.2
28/03/1979,0.1
29/03/1979,0.3
30/03/1979,1.9
31/03/1979,0.9
01/04/1979,2.2
02/04/1979,0.2
03/04/1979,-0.4
04/04/1979,-2
05/04/1979,0.8
06/04/1979,-1
07/04/1979,1.2
08/04/1979,3.4
09/04/1979,4.5
10/04/1979,5.4
11/04/1979,9.4
12/04/1979,6.1
13/04/1979,5.9
14/04/1979,6.9
15/04/1979,6.7
16/04/1979,5.1
17/04/1979,4.1
18/04/1979,-1.3
19/04/1979,4.7
20/04/1979,7.4
21/04/1979,3.2
22/04/1979,4.7
23/04/1979,6.9
24/04/1979,4.9
25/04/1979,3
26/04/1979,3.6
27/04/1979,5.1
28/04/1979,5.1
29/04/1979,1.2
30/04/1979,3.7
01/05/1979,2.7
02/05/1979,-0.4
03/05/1979,-0.6
04/05/1979,-1.1
05/05/1979,-0.4
06/05/1979,-0.7
07/05/1979,2.9
08/05/1979,4.9
09/05/1979,4
10/05/1979,4.5
11/05/1979,8.1
12/05/1979,9.8
13/05/1979,9.4
14/05/1979,9.4
15/05/1979,10.5
16/05/1979,11.1
17/05/1979,7.3
18/05/1979,7.2
19/05/1979,3.4
20/05/1979,5
21/05/1979,7.2
22/05/1979,6.1
23/05/1979,7.9
24/05/1979,5.6
25/05/1979,3.9
26/05/1979,5.1
27/05/1979,5.1
28/05/1979,6.4
29/05/1979,11.9
30/05/1979,11
31/05/1979,10.8
01/06/1979,6.2
02/06/1979,9.6
03/06/1979,9
04/06/1979,10.8
05/06/1979,12.2
06/06/1979,8.2
07/06/1979,6.7
08/06/1979,6.6
09/06/1979,10.4
10/06/1979,10.2
11/06/1979,8.1
12/06/1979,6.6
13/06/1979,11.6
14/06/1979,11.8
15/06/1979,5.4
16/06/1979,9
17/06/1979,12.4
18/06/1979,11.6
19/06/1979,9.2
20/06/1979,10.3
21/06/1979,12.1
22/06/1979,7.5
23/06/1979,7.6
24/06/1979,9.5
25/06/1979,8.1
26/06/1979,5.9
27/06/1979,6.8
28/06/1979,7.3
29/06/1979,11.9
30/06/1979,10.2
01/07/1979,6.8
02/07/1979,7.9
03/07/1979,8
04/07/1979,9.6
05/07/1979,9.6
06/07/1979,12.7
07/07/1979,11.3
08/07/1979,10
09/07/1979,15.4
10/07/1979,9.6
11/07/1979,11.8
12/07/1979,10.2
13/07/1979,8.9
14/07/1979,9.4
15/07/1979,12.8
16/07/1979,8.6
17/07/1979,11.5
18/07/1979,14.1
19/07/1979,10.5
20/07/1979,12.1
21/07/1979,11.5
22/07/1979,7
23/07/1979,11
24/07/1979,9
25/07/1979,9.7
26/07/1979,10.2
27/07/1979,9.6
28/07/1979,14.6
29/07/1979,16.2
30/07/1979,11.1
31/07/1979,13.5
01/08/1979,11.7
02/08/1979,12.1
03/08/1979,11.5
04/08/1979,11.9
05/08/1979,9.6
06/08/1979,10.4
07/08/1979,14.7
08/08/1979,9.7
09/08/1979,11.5
10/08/1979,8.2
11/08/1979,13
12/08/1979,14.5
13/08/1979,14.9
14/08/1979,15.1
15/08/1979,8.7
16/08/1979,7.4
17/08/1979,12.3
18/08/1979,12
19/08/1979,11.4
20/08/1979,10.6
21/08/1979,12.3
22/08/1979,6.6
23/08/1979,5
24/08/1979,7.1
25/08/1979,5.3
26/08/1979,9.5
27/08/1979,8.7
28/08/1979,3.1
29/08/1979,5
30/08/1979,8.8
31/08/1979,9.2
01/09/1979,14.7
02/09/1979,12.9
03/09/1979,11.5
04/09/1979,10.1
05/09/1979,8.6
06/09/1979,9.7
07/09/1979,8.8
08/09/1979,9.3
09/09/1979,13.6
10/09/1979,10.9
11/09/1979,8.9
12/09/1979,8.7
13/09/1979,11.4
14/09/1979,3.2
15/09/1979,3.7
16/09/1979,4.2
17/09/1979,7.6
18/09/1979,12.2
19/09/1979,15.5
20/09/1979,9.2
21/09/1979,3.6
22/09/1979,2.3
23/09/1979,2
24/09/1979,7.3
25/09/1979,5.7
26/09/1979,11.3
27/09/1979,11.6
28/09/1979,4.8
29/09/1979,5.1
30/09/1979,6.7
01/10/1979,8
02/10/1979,5.8
03/10/1979,11.9
04/10/1979,13.1
05/10/1979,5.2
06/10/1979,3.5
07/10/1979,10.9
08/10/1979,9
09/10/1979,12.6
10/10/1979,12.6
11/10/1979,10.3
12/10/1979,10.3
13/10/1979,10.2
14/10/1979,6.7
15/10/1979,5
16/10/1979,9.5
17/10/1979,3.8
18/10/1979,6.9
19/10/1979,6.1
20/10/1979,8.4
21/10/1979,4.6
22/10/1979,6.6
23/10/1979,4.9
24/10/1979,3.5
25/10/1979,8.1
26/10/1979,8.8
27/10/1979,3.3
28/10/1979,0.4
29/10/1979,3.1
30/10/1979,0.5
31/10/1979,5.7
01/11/1979,4.1
02/11/1979,1.1
03/11/1979,5.1
04/11/1979,9.4
05/11/1979,5.9
06/11/1979,7.4
07/11/1979,4.7
08/11/1979,2.4
09/11/1979,0.6
10/11/1979,-1.6
11/11/1979,-0.4
12/11/1979,2.4
13/11/1979,-3.9
14/11/1979,-1.3
15/11/1979,2.7
16/11/1979,1.1
17/11/1979,0
18/11/1979,1.1
19/11/1979,3
20/11/1979,0.4
21/11/1979,-3.3
22/11/1979,-0.5
23/11/1979,5.2
24/11/1979,-1.1
25/11/1979,0.2
26/11/1979,5.4
27/11/1979,6.1
28/11/1979,7.7
29/11/1979,3.1
30/11/1979,4.5
01/12/1979,8.9
02/12/1979,7
03/12/1979,6.5
04/12/1979,4.9
05/12/1979,7.6
06/12/1979,6.8
07/12/1979,8.4
08/12/1979,9.1
09/12/1979,6.1
10/12/1979,6.6
11/12/1979,5.5
12/12/1979,0.1
13/12/1979,0.7
14/12/1979,1.6
15/12/1979,4.4
16/12/1979,1.7
17/12/1979,2.5
18/12/1979,3.3
19/12/1979,0.6
20/12/1979,0.4
21/12/1979,0.3
22/12/1979,-2.6
23/12/1979,-0.1
24/12/1979,-1
25/12/1979,-3.6
26/12/1979,-3.1
27/12/1979,1.6
28/12/1979,0.2
29/12/1979,-0.1
30/12/1979,0.1
31/12/1979,-2.2
01/01/1980,-2.9
02/01/1980,-4.8
03/01/1980,-5.9
04/01/1980,-0.4
05/01/1980,0.1
06/01/1980,0.9
07/01/1980,3.6
08/01/1980,1.6
09/01/1980,-0.6
10/01/1980,0.1
11/01/1980,-1.4
12/01/1980,-3.1
13/01/1980,-4.2
14/01/1980,-5.9
15/01/1980,-5.2
16/01/1980,-0.9
17/01/1980,-0.6
18/01/1980,-1.9
19/01/1980,-2.1
20/01/1980,0.1
21/01/1980,0.1
22/01/1980,2.4
23/01/1980,0.9
24/01/1980,-0.5
25/01/1980,0.1
26/01/1980,-0.4
27/01/1980,-3
28/01/1980,-2.6
29/01/1980,1.4
30/01/1980,1.9
31/01/1980,4.8
01/02/1980,-2.2
02/02/1980,-1.4
03/02/1980,1.2
04/02/1980,-0.1
05/02/1980,0.9
06/02/1980,4.9
07/02/1980,2.1
08/02/1980,2.3
09/02/1980,6.1
10/02/1980,4.3
11/02/1980,2.7
12/02/1980,2.3
13/02/1980,4.3
14/02/1980,3.8
15/02/1980,4.6
16/02/1980,0.8
17/02/1980,2.3
18/02/1980,3.1
19/02/1980,2
20/02/1980,0.4
21/02/1980,1.2
22/02/1980,7.1
23/02/1980,-1.4
24/02/1980,-0.4
25/02/1980,-1.4
26/02/1980,-3.2
27/02/1980,-1.4
28/02/1980,-0.7
29/02/1980,1.6
01/03/1980,3.1
02/03/1980,4.1
03/03/1980,-1.3
04/03/1980,-4.4
05/03/1980,-1
06/03/1980,2.9
07/03/1980,1.7
08/03/1980,2.4
09/03/1980,0.6
10/03/1980,0.3
11/03/1980,0.7
12/03/1980,3.6
13/03/1980,1.2
14/03/1980,1
15/03/1980,1.6
16/03/1980,1.4
17/03/1980,0.6
18/03/1980,0
19/03/1980,-0.1
20/03/1980,-1.5
21/03/1980,-2.4
22/03/1980,-4.9
23/03/1980,-1.8
24/03/1980,1.7
25/03/1980,4.1
26/03/1980,0.1
27/03/1980,3.4
28/03/1980,5
29/03/1980,4.8
30/03/1980,1.5
31/03/1980,4.6
01/04/1980,5.5
02/04/1980,2.6
03/04/1980,0.4
04/04/1980,-1
05/04/1980,1
06/04/1980,4.1
07/04/1980,-1.4
08/04/1980,2.2
09/04/1980,-0.1
10/04/1980,2.7
11/04/1980,0.9
12/04/1980,2.2
13/04/1980,1.8
14/04/1980,5.1
15/04/1980,5.6
16/04/1980,6.5
17/04/1980,9.1
18/04/1980,4
19/04/1980,8
20/04/1980,2
21/04/1980,1.9
22/04/1980,6
23/04/1980,4.5
24/04/1980,4.5
25/04/1980,5
26/04/1980,1.2
27/04/1980,4.6
28/04/1980,4.6
29/04/1980,3.9
30/04/1980,3.9
01/05/1980,4.7
02/05/1980,5.7
03/05/1980,5
04/05/1980,1.8
05/05/1980,3
06/05/1980,1.7
07/05/1980,4.4
08/05/1980,4
09/05/1980,-2
10/05/1980,-0.5
11/05/1980,4.1
12/05/1980,7.4
13/05/1980,9.3
14/05/1980,8.6
15/05/1980,5.8
16/05/1980,6
17/05/1980,4.1
18/05/1980,5.2
19/05/1980,4.9
20/05/1980,7.1
21/05/1980,8.6
22/05/1980,8
23/05/1980,5.6
24/05/1980,7
25/05/1980,6.1
26/05/1980,8.4
27/05/1980,7.8
28/05/1980,4.5
29/05/1980,6.5
30/05/1980,2.3
31/05/1980,6.4
01/06/1980,8
02/06/1980,8.3
03/06/1980,13.1
04/06/1980,12.3
05/06/1980,13.6
06/06/1980,8.1
07/06/1980,7.6
08/06/1980,7.7
09/06/1980,5.5
10/06/1980,11.5
11/06/1980,10.7
12/06/1980,9.4
13/06/1980,11.7
14/06/1980,12.6
15/06/1980,11.1
16/06/1980,11.6
17/06/1980,9
18/06/1980,8.7
19/06/1980,12.5
20/06/1980,7.1
21/06/1980,10
22/06/1980,6.7
23/06/1980,4.5
24/06/1980,7.5
25/06/1980,6.8
26/06/1980,8.5
27/06/1980,6.5
28/06/1980,9.1
29/06/1980,8.1
30/06/1980,7.5
01/07/1980,8.5
02/07/1980,10
03/07/1980,8.4
04/07/1980,10.7
05/07/1980,9.2
06/07/1980,7.5
07/07/1980,10.4
08/07/1980,10.2
09/07/1980,10.6
10/07/1980,9.2
11/07/1980,7.4
12/07/1980,10
13/07/1980,9.6
14/07/1980,10.4
15/07/1980,8.2
16/07/1980,8.6
17/07/1980,6.1
18/07/1980,11.5
19/07/1980,12.9
20/07/1980,11.3
21/07/1980,6.1
22/07/1980,6.4
23/07/1980,7.4
24/07/1980,8.9
25/07/1980,11.2
26/07/1980,16
27/07/1980,11
28/07/1980,8.9
29/07/1980,15.4
30/07/1980,12.9
31/07/1980,12.2
01/08/1980,9.7
02/08/1980,11
03/08/1980,12.9
04/08/1980,15.3
05/08/1980,13.6
06/08/1980,12.5
07/08/1980,15.1
08/08/1980,13.1
09/08/1980,12.2
10/08/1980,10.4
11/08/1980,13.5
12/08/1980,10.5
13/08/1980,11.2
14/08/1980,14.9
15/08/1980,16.5
16/08/1980,10.7
17/08/1980,11.1
18/08/1980,11.6
19/08/1980,10.6
20/08/1980,11.5
21/08/1980,13.1
22/08/1980,8.5
23/08/1980,6.7
24/08/1980,5.4
25/08/1980,5.9
26/08/1980,9.6
27/08/1980,8.7
28/08/1980,12.8
29/08/1980,13.4
30/08/1980,12.6
31/08/1980,9.1
01/09/1980,6.5
02/09/1980,8.9
03/09/1980,7.4
04/09/1980,8.6
05/09/1980,11.9
06/09/1980,10.1
07/09/1980,10.2
08/09/1980,9.1
09/09/1980,8.3
10/09/1980,11.1
11/09/1980,12.5
12/09/1980,13.6
13/09/1980,9.9
14/09/1980,12.1
15/09/1980,12.4
16/09/1980,14
17/09/1980,10.2
18/09/1980,11.3
19/09/1980,13.4
20/09/1980,13
21/09/1980,14.5
22/09/1980,9.7
23/09/1980,9.7
24/09/1980,8.1
25/09/1980,6.2
26/09/1980,5.8
27/09/1980,9.9
28/09/1980,11
29/09/1980,11.2
30/09/1980,9.7
01/10/1980,5.1
02/10/1980,5.3
03/10/1980,2.4
04/10/1980,8
05/10/1980,1.6
06/10/1980,8.9
07/10/1980,7
08/10/1980,6.6
09/10/1980,3.6
10/10/1980,-0.5
11/10/1980,3.5
12/10/1980,4.2
13/10/1980,-1.1
14/10/1980,3.5
15/10/1980,2.6
16/10/1980,5.8
17/10/1980,5.5
18/10/1980,2.1
19/10/1980,-0.4
20/10/1980,3
21/10/1980,6
22/10/1980,9.3
23/10/1980,7.6
24/10/1980,3.7
25/10/1980,5.9
26/10/1980,6.4
27/10/1980,9
28/10/1980,14
29/10/1980,7.5
30/10/1980,0.2
31/10/1980,0.1
01/11/1980,2.1
02/11/1980,-0.9
03/11/1980,-1.9
04/11/1980,-0.5
05/11/1980,0.4
06/11/1980,0.7
07/11/1980,0
08/11/1980,0.4
09/11/1980,1.3
10/11/1980,0.6
11/11/1980,2.1
12/11/1980,-0.5
13/11/1980,0.4
14/11/1980,5.1
15/11/1980,7.2
16/11/1980,11.1
17/11/1980,9.5
18/11/1980,5.6
19/11/1980,1.9
20/11/1980,8
21/11/1980,8.8
22/11/1980,10.3
23/11/1980,12.1
24/11/1980,12.1
25/11/1980,2.2
26/11/1980,1
27/11/1980,-3
28/11/1980,-0.3
29/11/1980,-1.5
30/11/1980,-0.6
01/12/1980,-4.8
02/12/1980,-2.5
03/12/1980,1
04/12/1980,-0.1
05/12/1980,2.1
06/12/1980,1.5
07/12/1980,-2
08/12/1980,-5.2
09/12/1980,-4.1
10/12/1980,0.6
11/12/1980,5.9
12/12/1980,5.3
13/12/1980,7
14/12/1980,5.7
15/12/1980,1.6
16/12/1980,0
17/12/1980,0.5
18/12/1980,-0.1
19/12/1980,-1.7
20/12/1980,-0.6
21/12/1980,1.7
22/12/1980,1
23/12/1980,7.9
24/12/1980,7.4
25/12/1980,5.3
26/12/1980,-0.2
27/12/1980,-0.8
28/12/1980,-2.2
29/12/1980,-0.5
30/12/1980,7.1
31/12/1980,6.1
01/01/1981,3.2
02/01/1981,3.5
03/01/1981,6.9
04/01/1981,0.9
05/01/1981,-2.4
06/01/1981,-2
07/01/1981,-1
08/01/1981,-1
09/01/1981,4
10/01/1981,0
11/01/1981,-1.2
12/01/1981,-0.9
13/01/1981,-3.5
14/01/1981,-3.1
15/01/1981,0.4
16/01/1981,-2.5
17/01/1981,-0.7
18/01/1981,-1
19/01/1981,0
20/01/1981,1.9
21/01/1981,0.4
22/01/1981,3.6
23/01/1981,6.9
24/01/1981,6.9
25/01/1981,2.5
26/01/1981,3.8
27/01/1981,4.4
28/01/1981,5.6
29/01/1981,4.8
30/01/1981,-1.7
31/01/1981,-3.4
01/02/1981,-2.4
02/02/1981,-1.6
03/02/1981,-0.5
04/02/1981,1.5
05/02/1981,0
06/02/1981,2.7
07/02/1981,7.5
08/02/1981,7.6
09/02/1981,6.7
10/02/1981,-0.6
11/02/1981,-4.5
12/02/1981,-1.5
13/02/1981,-3.1
14/02/1981,-6.4
15/02/1981,-5.4
16/02/1981,-3.5
17/02/1981,-1.1
18/02/1981,-0.6
19/02/1981,-0.4
20/02/1981,-1
21/02/1981,-5.6
22/02/1981,-2.7
