Date,Stage,Stage Length,Daily Degree Days,Stage Sum Degree Days
1980-09-16,Seeding,1,15.6,15.6
1980-09-17,Seeding,2,12.600000000000001,28.200000000000003
1980-09-18,Seeding,3,13.350000000000001,41.550000000000004
1980-09-19,Seeding,4,15.95,57.5
1980-09-20,Seeding,5,14.949999999999998,72.45
1980-09-21,Seeding,6,15.2,87.65
1980-09-22,Seeding,7,13.400000000000002,101.05000000000001
1980-09-23,Seeding,8,12.750000000000002,113.80000000000001
1980-09-24,Seeding,9,12.0,125.80000000000001
1980-09-25,Seeding,10,11.45,137.25
1980-09-26,Seeding,11,11.499999999999998,148.75
1980-09-27,Emergence,1,0.0,0.0
1980-09-28,Emergence,2,0.0,0.0
1980-09-29,Emergence,3,0.0,0.0
1980-09-30,Emergence,4,0.0,0.0
1980-10-01,Emergence,5,0.0,0.0
1980-10-02,Emergence,6,0.0,0.0
1980-10-03,Emergence,7,0.07175368619691383,0.07175368619691383
1980-10-04,Emergence,8,0.27872376180569897,0.3504774480026128
1980-10-05,Emergence,9,0.31827725987956934,0.6687547078821822
1980-10-06,Emergence,10,0.7008479506039019,1.369602658486084
1980-10-07,Emergence,11,0.7215269734145126,2.0911296319005968
1980-10-08,Emergence,12,0.9287670047487088,3.0198966366493054
1980-10-09,Emergence,13,0.9252854840556862,3.9451821207049917
1980-10-10,Emergence,14,0.4624000354552215,4.407582156160213
1980-10-11,Emergence,15,1.1360228087923505,5.543604964952564
1980-10-12,Emergence,16,1.3814886308449918,6.925093595797556
1980-10-13,Emergence,17,1.0886039583537106,8.013697554151266
1980-10-14,Emergence,18,1.3895577518812838,9.40325530603255
1980-10-15,Emergence,19,1.3637288532652252,10.766984159297776
1980-10-16,Emergence,20,1.6460758354290586,12.413059994726835
1980-10-17,Emergence,21,1.8477644706355842,14.260824465362418
1980-10-18,Emergence,22,1.3810836644134887,15.641908129775906
1980-10-19,Emergence,23,1.3762803831367902,17.018188512912698
1980-10-20,Emergence,24,2.283205540156512,19.30139405306921
1980-10-21,Emergence,25,3.559602163786451,22.86099621685566
1980-10-22,Emergence,26,4.129453538782203,26.99044975563786
1980-10-23,Emergence,27,3.895092989693319,30.88554274533118
1980-10-24,Emergence,28,2.9889365376480006,33.87447928297918
1980-10-25,Emergence,29,2.9286709552016523,36.803150238180834
1980-10-26,Emergence,30,4.61378581451601,41.41693605269684
1980-10-27,Emergence,31,5.467473528305194,46.88440958100203
1980-10-28,Emergence,32,6.2941822945975625,53.178591875599594
1980-10-29,Emergence,33,4.268601968292615,57.44719384389221
1980-10-30,Emergence,34,2.232616215071684,59.679810058963895
1980-10-31,Emergence,35,2.279005106392269,61.958815165356164
1980-11-01,Emergence,36,2.1998854364980476,64.1587006018542
1980-11-02,Emergence,37,1.1867196789727477,65.34542028082696
1980-11-03,Emergence,38,0.7871992116006179,66.13261949242758
1980-11-04,Emergence,39,0.5744193378143289,66.70703883024191
1980-11-05,Emergence,40,0.5715949458037566,67.27863377604567
1980-11-06,Emergence,41,1.0083404018394524,68.28697417788511
1980-11-07,Emergence,42,0.30875885795840163,68.59573303584351
1980-11-08,Emergence,43,0.7682013539359026,69.36393438977942
1980-11-09,Emergence,44,1.605577635996844,70.96951202577625
1980-11-10,Emergence,45,1.4204906648061753,72.39000269058243
1980-11-11,Emergence,46,1.9188788937604457,74.30888158434288
1980-11-12,Emergence,47,1.1561145034352474,75.46499608777813
1980-11-13,Emergence,48,1.8764638106005238,77.34145989837866
1980-11-14,Emergence,49,3.6615124623711592,81.00297236074982
1980-11-15,Emergence,50,4.786241258502431,85.78921361925225
1980-11-16,Emergence,51,5.605167605007403,91.39438122425966
1980-11-17,Emergence,52,5.015928216699104,96.41030944095877
1980-11-18,Emergence,53,2.9872659210624533,99.39757536202123
1980-11-19,Emergence,54,3.1701982626435283,102.56777362466475
1980-11-20,Emergence,55,4.59062289810045,107.1583965227652
1980-11-21,Emergence,56,4.645336104515104,111.80373262728031
1980-11-22,Emergence,57,5.278458640135665,117.08219126741598
1980-11-23,Emergence,58,5.643137175058668,122.72532844247465
1980-11-24,Emergence,59,5.766387387836031,128.49171583031068
1980-11-25,Emergence,60,2.408175368747533,130.8998911990582
1980-11-26,Emergence,61,0.9742673128891877,131.8741585119474
1980-11-27,Emergence,62,1.3737224965923214,133.2478810085397
1980-11-28,Emergence,63,0.23610140514280933,133.48398241368253
1980-11-29,Emergence,64,0.0,133.48398241368253
1980-11-30,Emergence,65,0.25816961985173803,133.74215203353427
1980-12-01,Emergence,66,0.7957575768866161,134.53790961042088
1980-12-02,Emergence,67,0.9103593855431954,135.44826899596407
1980-12-03,Emergence,68,0.5355264673505289,135.9837954633146
1980-12-04,Emergence,69,0.975589386531014,136.95938484984563
1980-12-05,Emergence,70,1.9699833589340596,138.9293682087797
1980-12-06,Emergence,71,0.7169578940581302,139.64632610283783
1980-12-07,Emergence,72,0.0,139.64632610283783
1980-12-08,Emergence,73,0.16128682007855782,139.80761292291638
1980-12-09,Emergence,74,0.9661241077130037,140.77373703062938
1980-12-10,Emergence,75,2.136073988143281,142.90981101877267
1980-12-11,Emergence,76,3.3947876480878,146.30459866686047
1980-12-12,Emergence,77,3.4824164873775585,149.78701515423802
1980-12-13,Emergence,78,3.913711997951884,153.7007271521899
1980-12-14,Emergence,79,3.544460420036412,157.2451875722263
1980-12-15,Emergence,80,1.1425749810212205,158.38776255324754
1980-12-16,Emergence,81,1.4845518568346707,159.87231441008223
1980-12-17,Emergence,82,2.031939213295088,161.90425362337731
1980-12-18,Emergence,83,0.639129762543163,162.54338338592046
1980-12-19,Emergence,84,0.6619284733493948,163.20531185926987
1980-12-20,Emergence,85,0.8446341156316862,164.04994597490156
1980-12-21,Emergence,86,1.8267638458861453,165.8767098207877
1980-12-22,Emergence,87,2.3987155827379496,168.27542540352567
1980-12-23,Emergence,88,4.183201694743341,172.458627098269
1980-12-24,Emergence,89,3.6831777353897968,176.1418048336588
1980-12-25,Emergence,90,2.3356426192334463,178.47744745289225
1980-12-26,Emergence,91,0.5730933735239012,179.05054082641615
1980-12-27,Emergence,92,0.25247958727090714,179.30302041368705
1980-12-28,Emergence,93,1.2412058700180335,180.5442262837051
1980-12-29,Emergence,94,1.5654631238911096,182.1096894075962
1980-12-30,Emergence,95,3.1363400268483685,185.24602943444455
1980-12-31,Emergence,96,3.165340961917608,188.41137039636217
1981-01-01,Emergence,97,2.0794210698728826,190.49079146623507
1981-01-02,Emergence,98,2.847639570039894,193.33843103627495
1981-01-03,Emergence,99,3.596289728755516,196.93472076503048
1981-01-04,Emergence,100,0.7906909941274268,197.7254117591579
1981-01-05,Emergence,101,0.6760694165922139,198.40148117575012
1981-01-06,Emergence,102,0.5142100164331082,198.91569119218323
1981-01-07,Emergence,103,0.5859224458031611,199.5016136379864
1981-01-08,Emergence,104,1.621764308229016,201.1233779462154
1981-01-09,Emergence,105,2.3573925227754122,203.4807704689908
1981-01-10,Emergence,106,0.6857666182449843,204.1665370872358
1981-01-11,Emergence,107,2.633823234271948e-17,204.1665370872358
1981-01-12,Emergence,108,0.6664728896659403,204.83300997690176
1981-01-13,Emergence,109,1.0986990306966655,205.93170900759844
1981-01-14,Emergence,110,1.7737640120843778,207.7054730196828
1981-01-15,Emergence,111,0.07217282386514699,207.77764584354796
1981-01-16,Emergence,112,0.8210377967477832,208.59868364029575
1981-01-17,Emergence,113,1.0666219544225488,209.6653055947183
1981-01-18,Emergence,114,1.0708393014120963,210.73614489613038
1981-01-19,Emergence,115,1.1729113412091399,211.9090562373395
1981-01-20,Emergence,116,1.0796074250185619,212.98866366235808
1981-01-21,Emergence,117,2.192944991637052,215.18160865399514
1981-01-22,Emergence,118,2.8457309259657193,218.02733957996085
1981-01-23,Emergence,119,3.9765494437694335,222.0038890237303
1981-01-24,Emergence,120,3.5198692604902,225.5237582842205
1981-01-25,Emergence,121,2.03115255198352,227.55491083620402
1981-01-26,Emergence,122,2.4434697243967833,229.9983805606008
1981-01-27,Emergence,123,2.7331459971008307,232.7315265577016
1981-01-28,Emergence,124,2.720516852726606,235.45204341042822
1981-01-29,Emergence,125,2.094755757510634,237.54679916793884
1981-01-30,Emergence,126,0.8727147809198786,238.41951394885874
1981-01-31,Emergence,127,1.470153912828641,239.88966786168737
1981-02-01,Emergence,128,2.825064456719109,242.71473231840648
1981-02-02,Emergence,129,2.2138737143770375,244.9286060327835
1981-02-03,Emergence,130,1.6490106525280617,246.57761668531157
1981-02-04,Emergence,131,1.236361690269873,247.81397837558143
1981-02-05,Emergence,132,1.7977778199647474,249.61175619554618
1981-02-06,Emergence,133,3.4011835444783607,253.01293974002454
1981-02-07,Emergence,134,4.433367251384127,257.4463069914087
1981-02-08,Emergence,135,4.29499485130253,261.7413018427112
1981-02-09,Emergence,136,3.3457381743318932,265.0870400170431
1981-02-10,Emergence,137,0.7593911475207034,265.8464311645638
1981-02-11,Emergence,138,0.7633285472034855,266.60975971176725
1981-02-12,Emergence,139,0.7124931388384359,267.3222528506057
1981-02-13,Emergence,140,0.6335722049328132,267.9558250555385
1981-02-14,Emergence,141,0.5261252207088912,268.4819502762474
1981-02-15,Emergence,142,0.6959023819509237,269.17785265819833
