Date,Stage,Stage Length,Daily Degree Days
1978-09-22,Seeding,1,13.950000000000001
1978-09-23,Seeding,2,14.650000000000002
1978-09-24,Seeding,3,16.349999999999998
1978-09-25,Seeding,4,14.25
1978-09-26,Seeding,5,9.899999999999999
1978-09-27,Seeding,6,12.299999999999999
1978-09-28,Seeding,7,10.5
1978-09-29,Seeding,8,11.35
1978-09-30,Seeding,9,8.2
1978-10-01,Seeding,10,10.3
1978-10-02,Seeding,11,8.350000000000001
1978-10-03,Seeding,12,8.25
1978-10-04,Seeding,13,8.200000000000001
1978-10-05,Seeding,14,11.95
1978-10-06,Emergence,1,0.3306282558112148
1978-10-07,Emergence,2,0.4470922158732774
1978-10-08,Emergence,3,0.5592600695786563
1978-10-09,Emergence,4,0.8124448295646619
1978-10-10,Emergence,5,1.0086719575865228
1978-10-11,Emergence,6,1.281245455308503
1978-10-12,Emergence,7,1.2887422417574712
1978-10-13,Emergence,8,1.0447694124005908
1978-10-14,Emergence,9,1.2255348858141415
1978-10-15,Emergence,10,1.6273437851323302
1978-10-16,Emergence,11,1.3973149008344903
1978-10-17,Emergence,12,1.3415109909908522
1978-10-18,Emergence,13,1.2986071086331923
1978-10-19,Emergence,14,1.823142635503032
1978-10-20,Emergence,15,2.4690773267470196
1978-10-21,Emergence,16,2.047642397830233
1978-10-22,Emergence,17,2.8657578415138936
1978-10-23,Emergence,18,2.393306361405682
1978-10-24,Emergence,19,3.251293499377114
1978-10-25,Emergence,20,3.8720253801002325
1978-10-26,Emergence,21,3.7478165710898845
1978-10-27,Emergence,22,3.806701440818637
1978-10-28,Emergence,23,2.660088350037455
1978-10-29,Emergence,24,2.945908746735511
1978-10-30,Emergence,25,3.74209893426161
1978-10-31,Emergence,26,4.204939080155514
1978-11-01,Emergence,27,4.428841879363171
1978-11-02,Emergence,28,5.14597795402459
1978-11-03,Emergence,29,3.1685547386944384
1978-11-04,Emergence,30,3.9549215465322756
1978-11-05,Emergence,31,4.661046133864265
1978-11-06,Emergence,32,4.230513098414398
1978-11-07,Emergence,33,4.705357038828988
1978-11-08,Emergence,34,6.169006005973147
1978-11-09,Emergence,35,4.289900800264518
1978-11-10,Emergence,36,3.2111552719936887
1978-11-11,Emergence,37,2.942444948527077
1978-11-12,Emergence,38,4.266980697967306
1978-11-13,Emergence,39,3.1918813464407925
1978-11-14,Emergence,40,4.1282203833211515
1978-11-15,Emergence,41,5.405089825405044
1978-11-16,Emergence,42,3.0998971881492445
1978-11-17,Emergence,43,4.024856033551571
1978-11-18,Emergence,44,5.138867633775061
1978-11-19,Emergence,45,5.705188193504521
1978-11-20,Emergence,46,2.1947526433685964
1978-11-21,Emergence,47,3.4004614060003324
1978-11-22,Emergence,48,5.105030823191078
1978-11-23,Emergence,49,4.6276897666942824
1978-11-24,Emergence,50,4.586549789090237
1978-11-25,Emergence,51,0.9810036634907768
1978-11-26,Emergence,52,0.42917976868767915
1978-11-27,Emergence,53,0.1188130869377058
1978-11-28,Emergence,54,0.1184243531545104
1978-11-29,Emergence,55,0.330541967199933
1978-11-30,Emergence,56,0.3060003203361517
1978-12-01,Emergence,57,0.0
1978-12-02,Emergence,58,0.8425668461152404
1978-12-03,Emergence,59,1.0970997723212865
1978-12-04,Emergence,60,2.3516597044523238
1978-12-05,Emergence,61,0.743306199261725
1978-12-06,Emergence,62,2.573083392019996e-17
1978-12-07,Emergence,63,1.2951497441050095
1978-12-08,Emergence,64,2.2159257704121442
1978-12-09,Emergence,65,3.8478427075884483
1978-12-10,Emergence,66,4.2095407550352295
1978-12-11,Emergence,67,4.524801888862649
1978-12-12,Emergence,68,3.968231507562091
1978-12-13,Emergence,69,2.657633635103926
1978-12-14,Emergence,70,2.609141331967923
1978-12-15,Emergence,71,1.7379289801468856
1978-12-16,Emergence,72,1.5310504745684352
1978-12-17,Emergence,73,0.5709814833979501
1978-12-18,Emergence,74,0.47944633122693087
1978-12-19,Emergence,75,0.0
1978-12-20,Emergence,76,0.0
1978-12-21,Emergence,77,2.534411466373526e-17
1978-12-22,Emergence,78,0.0
1978-12-23,Emergence,79,0.8452616815362298
1978-12-24,Emergence,80,1.5772727701491283
1978-12-25,Emergence,81,1.9902885899311324
1978-12-26,Emergence,82,2.5646271897465294
1978-12-27,Emergence,83,3.3010178314976706
1978-12-28,Emergence,84,3.4888088422888983
1978-12-29,Emergence,85,3.1259999689343068
1978-12-30,Emergence,86,0.0
1978-12-31,Emergence,87,0.0
1979-01-01,Emergence,88,0.0
1979-01-02,Emergence,89,0.0
1979-01-03,Emergence,90,0.0
1979-01-04,Emergence,91,0.0
1979-01-05,Emergence,92,0.0
1979-01-06,Emergence,93,0.3739709210422607
1979-01-07,Emergence,94,1.1484079937741962
1979-01-08,Emergence,95,1.9508179359856281
1979-01-09,Emergence,96,0.7072177568326237
1979-01-10,Emergence,97,0.5438838696425736
1979-01-11,Emergence,98,0.2135103360556842
1979-01-12,Emergence,99,0.09521041280942
1979-01-13,Emergence,100,0.0
1979-01-14,Emergence,101,2.6611806033345544e-17
1979-01-15,Emergence,102,0.6495554147863228
1979-01-16,Emergence,103,0.9176304787181105
1979-01-17,Emergence,104,0.0
1979-01-18,Emergence,105,0.0
1979-01-19,Emergence,106,0.0
1979-01-20,Emergence,107,0.34351145341499695
1979-01-21,Emergence,108,0.0
1979-01-22,Emergence,109,0.0
1979-01-23,Emergence,110,0.0
1979-01-24,Emergence,111,0.0
1979-01-25,Emergence,112,0.050151914863790704
1979-01-26,Emergence,113,0.0
1979-01-27,Emergence,114,0.0
1979-01-28,Emergence,115,0.15255234688186584
1979-01-29,Emergence,116,0.25545801920861394
1979-01-30,Emergence,117,0.2566808179176114
1979-01-31,Emergence,118,0.5416356520947623
1979-02-01,Emergence,119,1.4254912396289083
1979-02-02,Emergence,120,0.13022786555159035
1979-02-03,Emergence,121,0.7590683956081554
1979-02-04,Emergence,122,0.44719465392740104
1979-02-05,Emergence,123,0.5816340005768298
