Date,Min_Temp,Max_Temp,Mean_Temp
01/09/1978,10.6,14.6,12.6
02/09/1978,7.9,17.2,12.55
03/09/1978,6,19.3,12.65
04/09/1978,6.6,19.2,12.9
05/09/1978,11.8,17.8,14.8
06/09/1978,12.5,20,16.25
07/09/1978,13.1,20.2,16.65
08/09/1978,8.9,19.8,14.35
09/09/1978,12.7,20.7,16.7
10/09/1978,15.2,24,19.6
11/09/1978,15.1,19.2,17.15
12/09/1978,8.2,18.7,13.45
13/09/1978,11.7,21.4,16.55
14/09/1978,9.9,18.6,14.25
15/09/1978,9.1,20,14.55
16/09/1978,8.5,21.9,15.2
17/09/1978,11,18.1,14.55
18/09/1978,5.7,18.1,11.9
19/09/1978,6.4,16.6,11.5
20/09/1978,4.5,19,11.75
21/09/1978,10.6,22.1,16.35
22/09/1978,8.3,21.6,14.95
23/09/1978,7.2,24.1,15.65
24/09/1978,12,22.7,17.35
25/09/1978,12.5,18,15.25
26/09/1978,4.3,17.5,10.9
27/09/1978,10.2,16.4,13.3
28/09/1978,8.1,14.9,11.5
29/09/1978,9.7,15,12.35
30/09/1978,6.9,11.5,9.2
01/10/1978,8.2,14.4,11.3
02/10/1978,3.6,15.1,9.35
03/10/1978,5.3,13.2,9.25
04/10/1978,3.8,14.6,9.2
05/10/1978,6.7,19.2,12.95
06/10/1978,8.6,19,13.8
07/10/1978,5.1,19.9,12.5
08/10/1978,3.4,19.8,11.6
09/10/1978,11.6,16,13.8
10/10/1978,11,19.3,15.15
11/10/1978,10.9,24.3,17.6
12/10/1978,8.5,23.5,16
13/10/1978,8.2,13.9,11.05
14/10/1978,8.8,13.2,11
15/10/1978,10.5,15.6,13.05
16/10/1978,7.2,12.9,10.05
17/10/1978,6.9,10.3,8.6
18/10/1978,2.8,12.4,7.6
19/10/1978,7.1,11.7,9.4
20/10/1978,9.2,14,11.6
21/10/1978,4.9,13.4,9.15
22/10/1978,8.2,15.4,11.8
23/10/1978,4.1,14.9,9.5
24/10/1978,6,18.2,12.1
25/10/1978,10.9,16.8,13.85
26/10/1978,11.6,14.4,13
27/10/1978,10.5,15,12.75
28/10/1978,4,13.6,8.8
29/10/1978,4.2,14.3,9.25
30/10/1978,8.4,13.7,11.05
31/10/1978,9.4,14.4,11.9
01/11/1978,7.9,16.4,12.15
02/11/1978,11.6,15.8,13.7
03/11/1978,4.6,12.4,8.5
04/11/1978,5.6,14.5,10.05
05/11/1978,8.1,14.6,11.35
06/11/1978,8.6,11.5,10.05
07/11/1978,6,15.6,10.8
08/11/1978,10.5,16.8,13.65
09/11/1978,4.5,14.6,9.55
10/11/1978,5.6,9,7.3
11/11/1978,5.5,8.1,6.8
12/11/1978,5.5,13.4,9.45
13/11/1978,3.3,11.4,7.35
14/11/1978,4.6,13.9,9.25
15/11/1978,10.6,13.1,11.85
16/11/1978,4.1,10.4,7.25
17/11/1978,5,13.3,9.15
18/11/1978,7.8,15.1,11.45
19/11/1978,12.3,13,12.65
20/11/1978,1,10,5.5
21/11/1978,3,13,8
22/11/1978,9.4,13.7,11.55
23/11/1978,8.6,12.6,10.6
24/11/1978,8.2,12.9,10.55
25/11/1978,0.4,5.7,3.05
26/11/1978,-1,3.8,1.4
27/11/1978,-4.1,2.5,-0.8
28/11/1978,-2.9,2.5,-0.2
29/11/1978,-3,3.4,0.2
30/11/1978,-6.6,3.3,-1.65
01/12/1978,-4.9,1.2,-1.85
02/12/1978,-2.6,5.6,1.5
03/12/1978,0.8,5.9,3.35
04/12/1978,3.6,8.5,6.05
05/12/1978,-2.4,5.2,1.4
06/12/1978,-0.4,2,0.8
07/12/1978,-1.2,7.6,3.2
08/12/1978,0.8,10.8,5.8
09/12/1978,6.2,12.5,9.35
10/12/1978,7,13.3,10.15
11/12/1978,8.3,13.4,10.85
12/12/1978,8.2,11.1,9.65
13/12/1978,5.5,8.1,6.8
14/12/1978,3.9,9.5,6.7
15/12/1978,1.7,7.9,4.8
16/12/1978,3.6,5.1,4.35
17/12/1978,0.6,3.9,2.25
18/12/1978,-1.8,4.1,1.15
19/12/1978,-5.5,1.1,-2.2
20/12/1978,-3.7,0.6,-1.55
21/12/1978,-1,2,0.5
22/12/1978,-3.6,0.6,-1.5
23/12/1978,-4,5.7,0.85
24/12/1978,-3,8.9,2.95
25/12/1978,2.1,8.6,5.35
26/12/1978,3,10.2,6.6
27/12/1978,6.7,9.7,8.2
28/12/1978,6.7,10.5,8.6
29/12/1978,7,8.6,7.8
30/12/1978,0.1,0.7,0.4
31/12/1978,-5.8,-3.3,-4.55
01/01/1979,-9.4,-2.4,-5.9
02/01/1979,-9,0.6,-4.2
03/01/1979,-10.4,0,-5.2
04/01/1979,-10.9,0.5,-5.2
05/01/1979,-5.9,-1.9,-3.9
06/01/1979,-9.4,3.6,-2.9
07/01/1979,-8.2,6.9,-0.65
08/01/1979,3.4,6.9,5.15
09/01/1979,0.5,4.5,2.5
10/01/1979,-0.7,4.3,1.8
11/01/1979,-0.3,2.9,1.3
12/01/1979,-1.5,2.4,0.45
13/01/1979,-7.1,1.2,-2.95
14/01/1979,-8.3,2,-3.15
15/01/1979,-1.5,4.7,1.6
16/01/1979,1.6,4.2,2.9
17/01/1979,0.2,1,0.6
18/01/1979,-1.4,0.3,-0.55
19/01/1979,-2.5,1.6,-0.45
20/01/1979,-1.9,3.4,0.75
