Date,Photovernalized-Affected Thermal Time
1978-09-01,12.6
1978-09-02,12.55
1978-09-03,12.65
1978-09-04,12.9
1978-09-05,14.8
1978-09-06,16.25
1978-09-07,16.65
1978-09-08,14.35
1978-09-09,16.700000000000003
1978-09-10,19.6
1978-09-11,17.15
1978-09-12,13.450000000000005
1978-09-13,16.55
1978-09-14,14.25
1978-09-15,14.55
1978-09-16,15.2
1978-09-17,14.55
1978-09-18,11.900000000000002
1978-09-19,11.500000000000002
1978-09-20,11.750000000000002
1978-09-21,16.35
1978-09-22,14.95
1978-09-23,15.650000000000004
1978-09-24,17.349999999999998
1978-09-25,15.25
1978-09-26,10.9
1978-09-27,13.3
1978-09-28,11.5
1978-09-29,12.35
1978-09-30,9.2
1978-10-01,11.3
1978-10-02,9.35
1978-10-03,9.25
1978-10-04,9.2
1978-10-05,12.95
1978-10-06,13.8
1978-10-07,12.499999999999996
1978-10-08,11.6
1978-10-09,13.800000000000002
1978-10-10,15.150000000000002
1978-10-11,17.599999999999998
1978-10-12,16.0
1978-10-13,11.05
1978-10-14,11.000000000000002
1978-10-15,13.05
1978-10-16,10.05
1978-10-17,8.600000000000001
1978-10-18,7.600000000000001
1978-10-19,9.4
1978-10-20,11.6
1978-10-21,9.15
1978-10-22,11.800000000000002
1978-10-23,9.5
1978-10-24,12.1
1978-10-25,13.85
1978-10-26,13.0
1978-10-27,12.75
1978-10-28,8.8
1978-10-29,9.250000000000004
1978-10-30,11.05
1978-10-31,11.9
1978-11-01,12.15
1978-11-02,13.7
1978-11-03,8.5
1978-11-04,10.05
1978-11-05,11.35
1978-11-06,10.05
1978-11-07,10.8
1978-11-08,13.650000000000002
1978-11-09,9.55
1978-11-10,7.300000000000001
1978-11-11,6.8
1978-11-12,9.45
1978-11-13,7.35
1978-11-14,9.25
1978-11-15,11.85
1978-11-16,7.250000000000002
1978-11-17,9.15
1978-11-18,11.45
1978-11-19,12.65
1978-11-20,5.5
1978-11-21,7.999999999999999
1978-11-22,11.55
1978-11-23,10.6
1978-11-24,10.55
1978-11-25,3.05
1978-11-26,1.9
1978-11-27,1.2499999999999998
1978-11-28,1.2499999999999998
1978-11-29,1.6999999999999995
1978-11-30,1.65
1978-12-01,0.6
1978-12-02,2.7999999999999994
1978-12-03,3.3500000000000005
1978-12-04,6.050000000000001
1978-12-05,2.6
1978-12-06,1.0
1978-12-07,3.8
1978-12-08,5.800000000000001
1978-12-09,9.35
1978-12-10,10.150000000000002
1978-12-11,10.85
1978-12-12,9.65
1978-12-13,6.8
1978-12-14,6.7
1978-12-15,4.8
1978-12-16,4.35
1978-12-17,2.2500000000000004
1978-12-18,2.05
1978-12-19,0.55
1978-12-20,0.3
1978-12-21,1.0
1978-12-22,0.3
1978-12-23,2.85
1978-12-24,4.450000000000001
1978-12-25,5.350000000000001
1978-12-26,6.6
1978-12-27,8.2
1978-12-28,8.6
1978-12-29,7.8
1978-12-30,0.3999999999999999
1978-12-31,0.0
1979-01-01,0.0
1979-01-02,0.3
1979-01-03,0.0
1979-01-04,0.25
1979-01-05,0.0
1979-01-06,1.8
1979-01-07,3.450000000000001
1979-01-08,5.15
1979-01-09,2.5
1979-01-10,2.15
1979-01-11,1.45
1979-01-12,1.2
1979-01-13,0.6
1979-01-14,1.0
1979-01-15,2.35
1979-01-16,2.9
1979-01-17,0.6
1979-01-18,0.15
1979-01-19,0.7999999999999999
1979-01-20,1.6999999999999995
1979-01-21,0.75
1979-01-22,0.0
1979-01-23,0.0
1979-01-24,0.3999999999999999
1979-01-25,1.1
1979-01-26,0.25
1979-01-27,0.0
1979-01-28,1.2999999999999998
1979-01-29,1.5
1979-01-30,1.5
1979-01-31,2.05
1979-02-01,3.75
1979-02-02,1.2499999999999998
1979-02-03,2.45
1979-02-04,1.85
1979-02-05,2.1
1979-02-06,1.15
1979-02-07,1.8
1979-02-08,1.35
1979-02-09,1.2
1979-02-10,0.95
1979-02-11,0.95
1979-02-12,0.75
1979-02-13,2.75
1979-02-14,0.0499999999999999
1979-02-15,0.0
1979-02-16,0.0
1979-02-17,0.0
1979-02-18,0.0
1979-02-19,0.1999999999999999
1979-02-20,0.6
1979-02-21,0.8499999999999999
1979-02-22,3.1
1979-02-23,3.9
1979-02-24,2.6
1979-02-25,3.0
1979-02-26,2.3
1979-02-27,4.0
1979-02-28,2.55
1979-03-01,4.199999999999999
1979-03-02,6.250000000000001
1979-03-03,9.65
1979-03-04,6.15
1979-03-05,4.9
1979-03-06,5.050000000000001
1979-03-07,3.9
1979-03-08,4.7
1979-03-09,5.4
1979-03-10,5.300000000000001
1979-03-11,6.6
1979-03-12,6.4
1979-03-13,3.7
1979-03-14,1.9
1979-03-15,0.55
1979-03-16,0.1999999999999999
1979-03-17,2.25
1979-03-18,3.850000000000001
1979-03-19,3.1499999999999995
1979-03-20,5.65
1979-03-21,4.3500000000000005
1979-03-22,3.65
1979-03-23,3.75
1979-03-24,5.45
1979-03-25,7.950000000000002
1979-03-26,4.45
1979-03-27,4.9
1979-03-28,2.9000000000000004
1979-03-29,3.35
1979-03-30,4.0
1979-03-31,5.45
1979-04-01,5.9
1979-04-02,4.550000000000001
1979-04-03,3.75
1979-04-04,3.3999999999999995
1979-04-05,4.25
1979-04-06,2.9
1979-04-07,5.250000000000001
1979-04-08,5.699999999999999
1979-04-09,8.5
1979-04-10,11.0
1979-04-11,12.800000000000002
1979-04-12,8.8
1979-04-13,10.8
1979-04-14,13.65
1979-04-15,14.750000000000002
1979-04-16,9.1
1979-04-17,5.450000000000001
1979-04-18,6.25
1979-04-19,9.05
1979-04-20,10.05
1979-04-21,7.8
1979-04-22,8.55
1979-04-23,9.450000000000005
1979-04-24,7.35
1979-04-25,6.7
1979-04-26,7.05
1979-04-27,7.85
1979-04-28,7.399999999999999
1979-04-29,6.699999999999999
1979-04-30,6.6000000000000005
1979-05-01,5.15
1979-05-02,3.7
1979-05-03,4.650000000000001
1979-05-04,3.850000000000001
1979-05-05,4.7
1979-05-06,5.35
1979-05-07,8.500000000000002
1979-05-08,10.000000000000002
1979-05-09,9.35
1979-05-10,8.9
1979-05-11,12.25
1979-05-12,14.7
1979-05-13,16.299999999999997
1979-05-14,17.4
1979-05-15,18.05
1979-05-16,16.25
1979-05-17,10.65
1979-05-18,11.05
1979-05-19,9.8
1979-05-20,9.250000000000002
1979-05-21,10.8
1979-05-22,10.3
1979-05-23,10.75
1979-05-24,9.35
1979-05-25,8.75
1979-05-26,9.95
1979-05-27,10.2
1979-05-28,10.35
1979-05-29,14.95
1979-05-30,14.2
1979-05-31,12.95
1979-06-01,11.650000000000004
1979-06-02,14.05
1979-06-03,12.8
1979-06-04,15.5
1979-06-05,15.7
1979-06-06,11.95
1979-06-07,10.5
1979-06-08,12.05
1979-06-09,14.8
1979-06-10,13.800000000000002
1979-06-11,12.4
1979-06-12,11.0
1979-06-13,14.45
1979-06-14,13.35
1979-06-15,9.75
1979-06-16,13.8
1979-06-17,16.15
1979-06-18,16.950000000000003
1979-06-19,16.85
1979-06-20,17.599999999999998
1979-06-21,16.5
1979-06-22,13.300000000000002
1979-06-23,12.95
1979-06-24,12.0
1979-06-25,12.4
1979-06-26,12.6
1979-06-27,12.85
1979-06-28,13.4
1979-06-29,13.600000000000003
1979-06-30,12.65
1979-07-01,12.0
1979-07-02,12.4
1979-07-03,13.5
1979-07-04,15.9
1979-07-05,16.65
1979-07-06,18.1
1979-07-07,15.7
1979-07-08,15.7
1979-07-09,17.35
1979-07-10,14.9
1979-07-11,15.45
1979-07-12,16.95
1979-07-13,16.85
1979-07-14,14.8
1979-07-15,16.25
1979-07-16,15.05
1979-07-17,18.25
1979-07-18,17.55
1979-07-19,13.6
1979-07-20,16.0
1979-07-21,14.9
1979-07-22,11.25
1979-07-23,14.2
1979-07-24,15.5
1979-07-25,16.45
1979-07-26,17.5
1979-07-27,17.84441402866993
1979-07-28,19.8
1979-07-29,18.45
1979-07-30,16.5
1979-07-31,16.650000000000002
1979-08-01,16.8
1979-08-02,16.4
1979-08-03,15.7
1979-08-04,16.5
1979-08-05,15.95
1979-08-06,16.85
1979-08-07,18.15
1979-08-08,14.400000000000002
1979-08-09,14.3
1979-08-10,14.1
1979-08-11,18.200000000000003
1979-08-12,19.55
1979-08-13,16.85
1979-08-14,17.4
1979-08-15,14.499999999999998
1979-08-16,13.3
1979-08-17,15.2
1979-08-18,15.150000000000002
1979-08-19,15.2
1979-08-20,15.9
1979-08-21,15.9
1979-08-22,12.55
1979-08-23,10.0
1979-08-24,11.8
1979-08-25,11.15
1979-08-26,13.3
1979-08-27,12.2
1979-08-28,11.999999999999998
1979-08-29,13.7
1979-08-30,16.700000000000003
1979-08-31,15.45
1979-09-01,17.950000000000003
1979-09-02,16.65
1979-09-03,14.650000000000002
1979-09-04,15.4
1979-09-05,15.5
1979-09-06,17.150000000000002
1979-09-07,14.95
1979-09-08,15.499999999999998
1979-09-09,17.75
1979-09-10,16.15
1979-09-11,15.25
1979-09-12,13.35
1979-09-13,14.1
1979-09-14,9.85
1979-09-15,9.65
1979-09-16,11.8
1979-09-17,13.9
1979-09-18,15.1
1979-09-19,16.650000000000002
1979-09-20,12.4
1979-09-21,9.25
1979-09-22,7.45
1979-09-23,7.200000000000001
1979-09-24,11.25
1979-09-25,11.45
1979-09-26,15.500000000000002
1979-09-27,13.75
1979-09-28,10.35
1979-09-29,10.4
1979-09-30,11.9
1979-10-01,12.8
1979-10-02,12.150000000000002
1979-10-03,15.25
1979-10-04,14.5
1979-10-05,10.650000000000004
1979-10-06,10.25
1979-10-07,14.55
1979-10-08,13.85
1979-10-09,16.1
1979-10-10,13.950000000000005
1979-10-11,13.800000000000004
1979-10-12,14.0
1979-10-13,13.3
1979-10-14,11.25
1979-10-15,11.349999999999998
1979-10-16,11.75
1979-10-17,9.15
1979-10-18,10.7
1979-10-19,11.5
1979-10-20,10.3
1979-10-21,9.3
1979-10-22,8.700000000000001
1979-10-23,7.8
1979-10-24,7.85
1979-10-25,10.25
1979-10-26,10.15
1979-10-27,7.15
1979-10-28,5.1000000000000005
1979-10-29,7.000000000000001
1979-10-30,6.9
1979-10-31,9.85
1979-11-01,8.25
1979-11-02,6.6000000000000005
1979-11-03,9.5
1979-11-04,11.5
1979-11-05,8.0
1979-11-06,9.15
1979-11-07,9.05
