Date,T_max
01/09/1978,14.6
02/09/1978,17.2
03/09/1978,19.3
04/09/1978,19.2
05/09/1978,17.8
06/09/1978,20
07/09/1978,20.2
08/09/1978,19.8
09/09/1978,20.7
10/09/1978,24
11/09/1978,19.2
12/09/1978,18.7
13/09/1978,21.4
14/09/1978,18.6
15/09/1978,20
16/09/1978,21.9
17/09/1978,18.1
18/09/1978,18.1
19/09/1978,16.6
20/09/1978,19
21/09/1978,22.1
22/09/1978,21.6
23/09/1978,24.1
24/09/1978,22.7
25/09/1978,18
26/09/1978,17.5
27/09/1978,16.4
28/09/1978,14.9
29/09/1978,15
30/09/1978,11.5
01/10/1978,14.4
02/10/1978,15.1
03/10/1978,13.2
04/10/1978,14.6
05/10/1978,19.2
06/10/1978,19
07/10/1978,19.9
08/10/1978,19.8
09/10/1978,16
10/10/1978,19.3
11/10/1978,24.3
12/10/1978,23.5
13/10/1978,13.9
14/10/1978,13.2
15/10/1978,15.6
16/10/1978,12.9
17/10/1978,10.3
18/10/1978,12.4
19/10/1978,11.7
20/10/1978,14
21/10/1978,13.4
22/10/1978,15.4
23/10/1978,14.9
24/10/1978,18.2
25/10/1978,16.8
26/10/1978,14.4
27/10/1978,15
28/10/1978,13.6
29/10/1978,14.3
30/10/1978,13.7
31/10/1978,14.4
01/11/1978,16.4
02/11/1978,15.8
03/11/1978,12.4
04/11/1978,14.5
05/11/1978,14.6
06/11/1978,11.5
07/11/1978,15.6
08/11/1978,16.8
09/11/1978,14.6
10/11/1978,9
11/11/1978,8.1
12/11/1978,13.4
13/11/1978,11.4
14/11/1978,13.9
15/11/1978,13.1
16/11/1978,10.4
17/11/1978,13.3
18/11/1978,15.1
19/11/1978,13
20/11/1978,10
21/11/1978,13
22/11/1978,13.7
23/11/1978,12.6
24/11/1978,12.9
25/11/1978,5.7
26/11/1978,3.8
27/11/1978,2.5
28/11/1978,2.5
29/11/1978,3.4
30/11/1978,3.3
01/12/1978,1.2
02/12/1978,5.6
03/12/1978,5.9
04/12/1978,8.5
05/12/1978,5.2
