Date,Stage,Stage Length,Daily Degree Days
1978-10-15,Seeding,1,12.049999999999999
1978-10-16,Seeding,2,9.049999999999999
1978-10-17,Seeding,3,7.600000000000001
1978-10-18,Seeding,4,6.6000000000000005
1978-10-19,Seeding,5,8.399999999999999
1978-10-20,Seeding,6,10.6
1978-10-21,Seeding,7,8.15
1978-10-22,Seeding,8,10.8
1978-10-23,Seeding,9,8.5
1978-10-24,Seeding,10,11.100000000000001
1978-10-25,Seeding,11,12.850000000000001
1978-10-26,Seeding,12,12.0
1978-10-27,Seeding,13,11.75
1978-10-28,Seeding,14,7.8
1978-10-29,Seeding,15,8.25
1978-10-30,Seeding,16,10.049999999999999
1978-10-31,Emergence,1,1.1149338888443603
1978-11-01,Emergence,2,1.2840191279840072
1978-11-02,Emergence,3,1.5820768792373103
1978-11-03,Emergence,4,1.0744575143508794
1978-11-04,Emergence,5,1.4406514952798197
1978-11-05,Emergence,6,1.7998563326797146
1978-11-06,Emergence,7,1.7410010886153535
1978-11-07,Emergence,8,2.0226788103568585
1978-11-08,Emergence,9,2.722899841194802
1978-11-09,Emergence,10,1.9718664058779831
1978-11-10,Emergence,11,1.574514724873061
1978-11-11,Emergence,12,1.5604567137090604
1978-11-12,Emergence,13,2.4094227963506816
1978-11-13,Emergence,14,1.9253748349920563
1978-11-14,Emergence,15,2.6290172895184516
1978-11-15,Emergence,16,3.6012433364165597
1978-11-16,Emergence,17,2.1886093587004023
1978-11-17,Emergence,18,2.9817298803438006
1978-11-18,Emergence,19,3.9542410821477247
1978-11-19,Emergence,20,4.5318264750784865
1978-11-20,Emergence,21,1.8262109695025859
1978-11-21,Emergence,22,2.9512935685924315
1978-11-22,Emergence,23,4.586787367119091
1978-11-23,Emergence,24,4.317441627870467
1978-11-24,Emergence,25,4.435282907332476
1978-11-25,Emergence,26,0.9810036634907768
1978-11-26,Emergence,27,0.42917976868767915
1978-11-27,Emergence,28,0.1188130869377058
1978-11-28,Emergence,29,0.1184243531545104
1978-11-29,Emergence,30,0.330541967199933
1978-11-30,Emergence,31,0.3060003203361517
1978-12-01,Emergence,32,0.0
1978-12-02,Emergence,33,0.8425668461152404
1978-12-03,Emergence,34,1.0970997723212865
1978-12-04,Emergence,35,2.3516597044523238
1978-12-05,Emergence,36,0.743306199261725
1978-12-06,Emergence,37,2.573083392019996e-17
1978-12-07,Emergence,38,1.2951497441050095
1978-12-08,Emergence,39,2.2159257704121442
1978-12-09,Emergence,40,3.8478427075884483
1978-12-10,Emergence,41,4.2095407550352295
1978-12-11,Emergence,42,4.524801888862649
1978-12-12,Emergence,43,3.968231507562091
1978-12-13,Emergence,44,2.657633635103926
1978-12-14,Emergence,45,2.609141331967923
1978-12-15,Emergence,46,1.7379289801468856
1978-12-16,Emergence,47,1.5310504745684352
1978-12-17,Emergence,48,0.5709814833979501
1978-12-18,Emergence,49,0.47944633122693087
1978-12-19,Emergence,50,0.0
1978-12-20,Emergence,51,0.0
1978-12-21,Emergence,52,2.534411466373526e-17
1978-12-22,Emergence,53,0.0
1978-12-23,Emergence,54,0.8452616815362298
1978-12-24,Emergence,55,1.5772727701491283
1978-12-25,Emergence,56,1.9902885899311324
1978-12-26,Emergence,57,2.5646271897465294
1978-12-27,Emergence,58,3.3010178314976706
1978-12-28,Emergence,59,3.4888088422888983
1978-12-29,Emergence,60,3.1259999689343068
1978-12-30,Emergence,61,0.0
1978-12-31,Emergence,62,0.0
1979-01-01,Emergence,63,0.0
1979-01-02,Emergence,64,0.0
1979-01-03,Emergence,65,0.0
1979-01-04,Emergence,66,0.0
1979-01-05,Emergence,67,0.0
1979-01-06,Emergence,68,0.3739709210422607
1979-01-07,Emergence,69,1.1484079937741962
1979-01-08,Emergence,70,1.9508179359856281
1979-01-09,Emergence,71,0.7072177568326237
1979-01-10,Emergence,72,0.5438838696425736
1979-01-11,Emergence,73,0.2135103360556842
1979-01-12,Emergence,74,0.09521041280942
1979-01-13,Emergence,75,0.0
1979-01-14,Emergence,76,2.6611806033345544e-17
1979-01-15,Emergence,77,0.6495554147863228
1979-01-16,Emergence,78,0.9176304787181105
1979-01-17,Emergence,79,0.0
1979-01-18,Emergence,80,0.0
1979-01-19,Emergence,81,0.0
1979-01-20,Emergence,82,0.34351145341499695
1979-01-21,Emergence,83,0.0
1979-01-22,Emergence,84,0.0
1979-01-23,Emergence,85,0.0
1979-01-24,Emergence,86,0.0
1979-01-25,Emergence,87,0.050151914863790704
1979-01-26,Emergence,88,0.0
1979-01-27,Emergence,89,0.0
1979-01-28,Emergence,90,0.15255234688186584
1979-01-29,Emergence,91,0.25545801920861394
1979-01-30,Emergence,92,0.2566808179176114
1979-01-31,Emergence,93,0.5416356520947623
1979-02-01,Emergence,94,1.4254912396289083
1979-02-02,Emergence,95,0.13022786555159035
1979-02-03,Emergence,96,0.7590683956081554
1979-02-04,Emergence,97,0.44719465392740104
1979-02-05,Emergence,98,0.5816340005768298
1979-02-06,Emergence,99,0.07971523932371156
1979-02-07,Emergence,100,0.4273125061575063
1979-02-08,Emergence,101,0.1879060247444858
1979-02-09,Emergence,102,0.10792703788167397
1979-02-10,Emergence,103,0.0
1979-02-11,Emergence,104,0.0
1979-02-12,Emergence,105,0.0
1979-02-13,Emergence,106,0.9641316162021071
1979-02-14,Emergence,107,0.0
1979-02-15,Emergence,108,0.0
1979-02-16,Emergence,109,0.0
1979-02-17,Emergence,110,0.0
1979-02-18,Emergence,111,0.0
1979-02-19,Emergence,112,0.0
1979-02-20,Emergence,113,0.0
1979-02-21,Emergence,114,0.0
1979-02-22,Emergence,115,1.2130179860280934
1979-02-23,Emergence,116,1.683993234083022
1979-02-24,Emergence,117,0.9340218206737938
1979-02-25,Emergence,118,1.1737121055306667
1979-02-26,Emergence,119,0.7669533045692731
1979-02-27,Emergence,120,1.7792617648524
1979-02-28,Emergence,121,0.924148951186696
1979-03-01,Emergence,122,1.9180072870875438
1979-03-02,Emergence,123,3.1633522589741596
1979-03-03,Emergence,124,5.239501942008221
1979-03-04,Emergence,125,3.1359140133688386
1979-03-05,Emergence,126,2.3872705371519425
1979-03-06,Emergence,127,2.492120303953645
1979-03-07,Emergence,128,1.7938474873111205
1979-03-08,Emergence,129,2.3006954806278683
1979-03-09,Emergence,130,2.750275050285342
1979-03-10,Emergence,131,2.701804254079374
1979-03-11,Emergence,132,3.536968306630046
1979-03-12,Emergence,133,3.42838966596694
1979-03-13,Emergence,134,1.7230935090796162
1979-03-14,Emergence,135,0.5773397797401759
1979-03-15,Emergence,136,0.0
1979-03-16,Emergence,137,0.0
1979-03-17,Emergence,138,0.8143301344629855
1979-03-18,Emergence,139,1.8662021125434785
1979-03-19,Emergence,140,1.415044584407941
1979-03-20,Emergence,141,3.0760745996194356
1979-03-21,Emergence,142,2.2273847678852188
1979-03-22,Emergence,143,1.7709120962666831
1979-03-23,Emergence,144,1.8470496397306178
1979-03-24,Emergence,145,3.0039629141338913
1979-03-25,Emergence,146,4.715219031112288
1979-03-26,Emergence,147,2.352406614270619
1979-03-27,Emergence,148,2.672561715367656
1979-03-28,Emergence,149,1.308519123842809
1979-03-29,Emergence,150,1.6264887337241543
1979-03-30,Emergence,151,2.086673247786467
1979-03-31,Emergence,152,3.110544055829644
1979-04-01,Emergence,153,3.4419821549173686
1979-04-02,Emergence,154,2.5059360770466372
1979-04-03,Emergence,155,1.9507257421591142
1979-04-04,Emergence,156,1.7107608384747865
1979-04-05,Emergence,157,2.327922239809664
1979-04-06,Emergence,158,1.3675339822639345
1979-04-07,Emergence,159,3.073725568228655
1979-04-08,Emergence,160,3.4155268812987947
1979-04-09,Emergence,161,5.476419300528573
1979-04-10,Emergence,162,7.336733113623314
1979-04-11,Emergence,163,8.69848358383803
1979-04-12,Emergence,164,5.7770522507201445
1979-04-13,Emergence,165,7.292543812018507
1979-04-14,Emergence,166,9.45748551115359
1979-04-15,Emergence,167,10.327869124950464
1979-04-16,Emergence,168,6.11232382856809
1979-04-17,Double Ridge,1,2.793895467684728
1979-04-18,Double Ridge,2,3.3243384061707992
1979-04-19,Double Ridge,3,5.140484870038003
1979-04-20,Double Ridge,4,5.827542056452367
1979-04-21,Double Ridge,5,4.415100107500894
1979-04-22,Double Ridge,6,4.942416758787066
1979-04-23,Double Ridge,7,5.576678592386644
1979-04-24,Double Ridge,8,4.224590117120755
1979-04-25,Double Ridge,9,3.8224587389347247
1979-04-26,Double Ridge,10,4.089264809865684
1979-04-27,Double Ridge,11,4.666236911956083
1979-04-28,Double Ridge,12,4.393459002454962
1979-04-29,Double Ridge,13,3.942897154747089
1979-04-30,Double Ridge,14,3.90306454676265
1979-05-01,Double Ridge,15,2.9141072302704956
1979-05-02,Double Ridge,16,1.909954343174243
1979-05-03,Double Ridge,17,2.600850297738007
1979-05-04,Double Ridge,18,2.0454622895125376
1979-05-05,Double Ridge,19,2.6744387960791807
1979-05-06,Double Ridge,20,3.166387159751763
1979-05-07,Double Ridge,21,5.49716281567435
1979-05-08,Double Ridge,22,6.6417175988151556
1979-05-09,Double Ridge,23,6.203575848081066
1979-05-10,Double Ridge,24,5.908221195734041
1979-05-11,Double Ridge,25,8.468600107085024
1979-05-12,Double Ridge,26,10.379193253745372
1979-05-13,Double Ridge,27,11.66465494043983
1979-05-14,Double Ridge,28,12.580973333711855
1979-05-15,Double Ridge,29,13.159401859437645
1979-05-16,Double Ridge,30,11.840589875232356
1979-05-17,Double Ridge,31,7.536535845939014
1979-05-18,Double Ridge,32,7.894044143414841
1979-05-19,Double Ridge,33,6.951076567049059
1979-05-20,Double Ridge,34,6.552468041356016
1979-05-21,Double Ridge,35,7.82533600983697
1979-05-22,Double Ridge,36,7.464984839284476
1979-05-23,Double Ridge,37,7.866136027386461
1979-05-24,Double Ridge,38,6.770092798176706
1979-05-25,Double Ridge,39,6.313937128238808
1979-05-26,Double Ridge,40,7.325709741893495
1979-05-27,Double Ridge,41,7.564477657437827
1979-05-28,Double Ridge,42,7.721507425353697
1979-05-29,Double Ridge,43,11.569046446638009
1979-05-30,Double Ridge,44,10.991633984379638
1979-05-31,Double Ridge,45,9.989687116073718
1979-06-01,Double Ridge,46,8.936316083075697
1979-06-02,Double Ridge,47,10.98935608351377
1979-06-03,Double Ridge,48,9.970640893896428
1979-06-04,Double Ridge,49,12.291745668740996
1979-06-05,Double Ridge,50,12.499459555449326
1979-06-06,Double Ridge,51,9.337678444329548
1979-06-07,Double Ridge,52,8.123077721573372
1979-06-08,Double Ridge,53,9.47221634734256
1979-06-09,Double Ridge,54,11.857133905211947
1979-06-10,Double Ridge,55,11.021477436279445
1979-06-11,Double Ridge,56,9.835145631165028
1979-06-12,Double Ridge,57,8.642472210401579
1979-06-13,Double Ridge,58,11.642263244803152
1979-06-14,Double Ridge,59,10.704676369221252
1979-06-15,Double Ridge,60,7.593110483018759
1979-06-16,Double Ridge,61,11.118334910815292
