Date,Stage,Stage Length,Daily Degree Days
1979-09-21,Seeding,1,8.25
1979-09-22,Seeding,2,6.45
1979-09-23,Seeding,3,6.200000000000001
1979-09-24,Seeding,4,10.25
1979-09-25,Seeding,5,10.450000000000001
1979-09-26,Seeding,6,14.500000000000002
1979-09-27,Seeding,7,12.75
1979-09-28,Seeding,8,9.35
1979-09-29,Seeding,9,9.399999999999999
1979-09-30,Seeding,10,10.9
1979-10-01,Seeding,11,11.8
1979-10-02,Seeding,12,11.15
1979-10-03,Seeding,13,14.25
1979-10-04,Seeding,14,13.5
1979-10-05,Emergence,1,0.30470881877670425
1979-10-06,Emergence,2,0.442624394284812
1979-10-07,Emergence,3,0.7702747586585637
1979-10-08,Emergence,4,0.8741484280407119
1979-10-09,Emergence,5,1.1046995860401307
1979-10-10,Emergence,6,1.077350908378504
1979-10-11,Emergence,7,1.1997180986739389
1979-10-12,Emergence,8,1.3477486056755212
1979-10-13,Emergence,9,1.4214806873905426
1979-10-14,Emergence,10,1.3453509863975763
1979-10-15,Emergence,11,1.5010738272700832
1979-10-16,Emergence,12,1.7350796843716418
1979-10-17,Emergence,13,1.4617297490526762
1979-10-18,Emergence,14,1.9031300573247194
1979-10-19,Emergence,15,2.2019386972827695
1979-10-20,Emergence,16,2.1281162447752036
1979-10-21,Emergence,17,2.0456666726870316
1979-10-22,Emergence,18,2.056938315137647
1979-10-23,Emergence,19,1.9565124685122
1979-10-24,Emergence,20,2.1022829080864223
1979-10-25,Emergence,21,3.0046664552905575
1979-10-26,Emergence,22,3.1432644118242608
1979-10-27,Emergence,23,2.2331414399694625
1979-10-28,Emergence,24,1.5625647191760013
1979-10-29,Emergence,25,2.4022775004629358
1979-10-30,Emergence,26,2.455259501658217
1979-10-31,Emergence,27,3.8196854509224796
1979-11-01,Emergence,28,3.2551086716382294
1979-11-02,Emergence,29,2.6077467841029733
1979-11-03,Emergence,30,4.08793041892754
1979-11-04,Emergence,31,5.194614071986201
1979-11-05,Emergence,32,3.5919786067307924
1979-11-06,Emergence,33,4.234998916636926
1979-11-07,Emergence,34,4.162636017850046
1979-11-08,Emergence,35,2.0841222912192108
1979-11-09,Emergence,36,1.7412564022547126
1979-11-10,Emergence,37,1.4271801208860835
1979-11-11,Emergence,38,1.877076949922446
1979-11-12,Emergence,39,1.4644075768171825
1979-11-13,Emergence,40,0.678588947668515
1979-11-14,Emergence,41,0.6755269718161886
1979-11-15,Emergence,42,1.270320650210402
1979-11-16,Emergence,43,1.0167662777129518
1979-11-17,Emergence,44,1.2840031518078632
1979-11-18,Emergence,45,1.89326702296976
1979-11-19,Emergence,46,2.4975501962981164
1979-11-20,Emergence,47,0.926673338311185
1979-11-21,Emergence,48,1.3601845624001332
1979-11-22,Emergence,49,1.6936121214377984
1979-11-23,Emergence,50,3.0851265111295207
1979-11-24,Emergence,51,1.440800980866043
1979-11-25,Emergence,52,2.5601802925247115
1979-11-26,Emergence,53,4.172581084463547
1979-11-27,Emergence,54,3.944594486331833
1979-11-28,Emergence,55,4.073797748515158
1979-11-29,Emergence,56,2.8804371427422732
1979-11-30,Emergence,57,3.6484653578541177
1979-12-01,Emergence,58,4.435823468361681
1979-12-02,Emergence,59,4.166024961347579
1979-12-03,Emergence,60,3.688122638867303
1979-12-04,Emergence,61,3.818536549803773
1979-12-05,Emergence,62,4.599207107931922
1979-12-06,Emergence,63,4.194905740788997
1979-12-07,Emergence,64,4.232364342343156
1979-12-08,Emergence,65,4.08561313919739
1979-12-09,Emergence,66,3.8017607589945754
1979-12-10,Emergence,67,3.2894225572133218
1979-12-11,Emergence,68,2.2738852131847835
1979-12-12,Emergence,69,1.949709122212588
1979-12-13,Emergence,70,1.9932252263279446
1979-12-14,Emergence,71,2.0598484199746765
1979-12-15,Emergence,72,2.080941278860087
1979-12-16,Emergence,73,2.079486465458621
1979-12-17,Emergence,74,1.7586229688656867
1979-12-18,Emergence,75,1.5296621043906844
1979-12-19,Emergence,76,0.5021733848553422
1979-12-20,Emergence,77,0.4108521558720381
1979-12-21,Emergence,78,0.04565589814225328
1979-12-22,Emergence,79,0.022834548073576818
1979-12-23,Emergence,80,0.0
1979-12-24,Emergence,81,0.27430830785202237
1979-12-25,Emergence,82,0.411783846192648
1979-12-26,Emergence,83,0.9159382820523324
1979-12-27,Emergence,84,2.269449759154649
1979-12-28,Emergence,85,0.8722022105722244
1979-12-29,Emergence,86,0.5746323472305711
1979-12-30,Emergence,87,0.11510758263905214
1979-12-31,Emergence,88,0.09224529490730493
1980-01-01,Emergence,89,0.0
1980-01-02,Emergence,90,0.0
1980-01-03,Emergence,91,1.716938322115537
1980-01-04,Emergence,92,1.4418482834088369
1980-01-05,Emergence,93,1.1656369251589895
1980-01-06,Emergence,94,1.379017771343336
1980-01-07,Emergence,95,1.523398359088219
1980-01-08,Emergence,96,0.8226340693915299
1980-01-09,Emergence,97,0.25931317750529537
1980-01-10,Emergence,98,0.047294249534136905
1980-01-11,Emergence,99,2.633823234271948e-17
1980-01-12,Emergence,100,0.0
1980-01-13,Emergence,101,0.0
1980-01-14,Emergence,102,0.0
1980-01-15,Emergence,103,0.04811521591009807
1980-01-16,Emergence,104,0.43466706886647344
1980-01-17,Emergence,105,0.5090695691562164
1980-01-18,Emergence,106,0.0
1980-01-19,Emergence,107,0.46427740589528466
1980-01-20,Emergence,108,0.883315165924278
1980-01-21,Emergence,109,1.330550893802256
1980-01-22,Emergence,110,1.7074385555794316
1980-01-23,Emergence,111,1.3669388712957429
1980-01-24,Emergence,112,1.1233625299436807
1980-01-25,Emergence,113,1.0030382972758123
1980-01-26,Emergence,114,0.4534273715375474
1980-01-27,Emergence,115,0.2783759811861957
1980-01-28,Emergence,116,0.3559554760576868
1980-01-29,Emergence,117,1.9414809459854652
1980-01-30,Emergence,118,2.3871316066337855
1980-01-31,Emergence,119,2.862931303929458
1980-02-01,Emergence,120,1.2440650818579564
1980-02-02,Emergence,121,1.7971445446119474
1980-02-03,Emergence,122,1.7275349693151119
1980-02-04,Emergence,123,1.6835563441972734
1980-02-05,Emergence,124,2.247222274955934
1980-02-06,Emergence,125,2.683746390564957
1980-02-07,Emergence,126,2.3502187838662842
1980-02-08,Emergence,127,2.6306843464227994
1980-02-09,Emergence,128,3.993300401621937
1980-02-10,Emergence,129,3.1731701521400812
1980-02-11,Emergence,130,3.0260524549852454
1980-02-12,Emergence,131,2.658147479512627
1980-02-13,Emergence,132,2.6720219077601257
1980-02-14,Emergence,133,2.879843313353929
1980-02-15,Emergence,134,3.813545053091062
1980-02-16,Emergence,135,1.7908776990140232
1980-02-17,Emergence,136,3.3755847085068766
1980-02-18,Emergence,137,3.2802813267595536
1980-02-19,Emergence,138,2.7290568899932723
1980-02-20,Emergence,139,1.97188251179801
1980-02-21,Emergence,140,2.585632668747743
1980-02-22,Emergence,141,3.7834608611828617
1980-02-23,Emergence,142,1.9743368951318196
1980-02-24,Emergence,143,1.10915091205013
1980-02-25,Emergence,144,1.5551685398281327
1980-02-26,Emergence,145,0.7374551005473782
1980-02-27,Emergence,146,0.9489396079212803
1980-02-28,Emergence,147,1.848297902373392
1980-02-29,Emergence,148,3.206668433099489
1980-03-01,Emergence,149,2.982589272747065
1980-03-02,Emergence,150,3.3314752232422213
1980-03-03,Double Ridge,1,0.5974969440039604
1980-03-04,Double Ridge,2,1.3912557606209865
1980-03-05,Double Ridge,3,1.0409427445704815
1980-03-06,Double Ridge,4,2.024590285318033
1980-03-07,Double Ridge,5,1.5890406762519327
1980-03-08,Double Ridge,6,1.6292164138456533
1980-03-09,Double Ridge,7,1.7770081053414668
1980-03-10,Double Ridge,8,1.3863457640703705
1980-03-11,Double Ridge,9,1.8408081473108677
1980-03-12,Double Ridge,10,2.438469686574295
1980-03-13,Double Ridge,11,1.4574432207787555
1980-03-14,Double Ridge,12,0.9297674529978814
1980-03-15,Double Ridge,13,0.5274599699227271
1980-03-16,Double Ridge,14,0.8348236825026142
1980-03-17,Double Ridge,15,0.6096155175743707
1980-03-18,Double Ridge,16,0.9244808154529414
1980-03-19,Double Ridge,17,0.0
1980-03-20,Double Ridge,18,0.2906685927582694
1980-03-21,Double Ridge,19,0.0
1980-03-22,Double Ridge,20,1.2866176577899893
1980-03-23,Double Ridge,21,1.675246590267428
1980-03-24,Double Ridge,22,2.400202633709656
1980-03-25,Double Ridge,23,3.3951522786620356
1980-03-26,Double Ridge,24,2.295325299166103
1980-03-27,Double Ridge,25,3.5953700036561798
1980-03-28,Double Ridge,26,3.921254380520426
1980-03-29,Double Ridge,27,3.3226706659822662
1980-03-30,Double Ridge,28,2.2550682919566136
1980-03-31,Double Ridge,29,3.5786757370344207
1980-04-01,Double Ridge,30,4.24339310817397
1980-04-02,Double Ridge,31,3.6764761876129275
1980-04-03,Double Ridge,32,2.483901109751795
1980-04-04,Double Ridge,33,2.789391757187142
1980-04-05,Double Ridge,34,2.9295951487119543
1980-04-06,Double Ridge,35,3.9619751749421592
1980-04-07,Double Ridge,36,3.1005953567753037
1980-04-08,Double Ridge,37,2.6320793543340675
1980-04-09,Double Ridge,38,2.5676598529632932
1980-04-10,Double Ridge,39,3.514218141413868
1980-04-11,Double Ridge,40,3.3956302202305357
1980-04-12,Double Ridge,41,4.759963724387015
1980-04-13,Double Ridge,42,6.025583129810018
1980-04-14,Double Ridge,43,7.065843522314158
1980-04-15,Double Ridge,44,7.500807622838649
1980-04-16,Double Ridge,45,7.534100137576792
1980-04-17,Double Ridge,46,6.996940835845206
1980-04-18,Double Ridge,47,6.194124626008526
1980-04-19,Double Ridge,48,6.4070766256023255
1980-04-20,Double Ridge,49,2.5321897675372775
1980-04-21,Double Ridge,50,3.731360996700168
1980-04-22,Double Ridge,51,4.289752763374341
1980-04-23,Double Ridge,52,4.557235008232625
1980-04-24,Double Ridge,53,4.895429613021665
1980-04-25,Double Ridge,54,4.393425002335032
1980-04-26,Double Ridge,55,2.4523288880353133
1980-04-27,Double Ridge,56,4.633726291651719
1980-04-28,Double Ridge,57,4.254178509069227
1980-04-29,Double Ridge,58,3.90306454676265
1980-04-30,Double Ridge,59,4.915361593227344
1980-05-01,Double Ridge,60,6.012819228511508
1980-05-02,Double Ridge,61,6.021146579694837
1980-05-03,Double Ridge,62,5.095713072118952
1980-05-04,Double Ridge,63,5.240454397722718
1980-05-05,Double Ridge,64,4.440221074594427
1980-05-06,Double Ridge,65,4.214491492017002
1980-05-07,Double Ridge,66,4.649202319170608
1980-05-08,Double Ridge,67,3.9004518805300115
1980-05-09,Double Ridge,68,3.5898052834839738
1980-05-10,Double Ridge,69,5.833924518214129
1980-05-11,Double Ridge,70,8.030616678080362
1980-05-12,Double Ridge,71,10.635420680989258
1980-05-13,Double Ridge,72,11.123421545050116
1980-05-14,Double Ridge,73,9.840608428611729
1980-05-15,Double Ridge,74,8.385466928033408
1980-05-16,Double Ridge,75,8.864215735897181
1980-05-17,Double Ridge,76,8.326056509472371
1980-05-18,Double Ridge,77,9.755204045801802
1980-05-19,Double Ridge,78,10.047117663412555
1980-05-20,Double Ridge,79,6.82720641674552
1980-05-21,Double Ridge,80,10.434925044161098
1980-05-22,Double Ridge,81,8.5115625732233
1980-05-23,Double Ridge,82,6.162000630675804
1980-05-24,Double Ridge,83,7.250843927912954
1980-05-25,Double Ridge,84,7.93959603311362
1980-05-26,Double Ridge,85,9.866709987962382
1980-05-27,Double Ridge,86,9.497041218349464
1980-05-28,Double Ridge,87,8.417621608127298
1980-05-29,Double Ridge,88,7.452660921227102
1980-05-30,Double Ridge,89,6.395071668448865
1980-05-31,Double Ridge,90,6.460998482599327
1980-06-01,Double Ridge,91,9.726211706098393
1980-06-02,Double Ridge,92,9.632653066984686
1980-06-03,Double Ridge,93,14.877250792165825
1980-06-04,Double Ridge,94,15.571095250071025
1980-06-05,Double Ridge,95,16.031813219488175
1980-06-06,Double Ridge,96,10.859272322524403
1980-06-07,Double Ridge,97,10.157987666607179
1980-06-08,Double Ridge,98,10.224629961740739
1980-06-09,Double Ridge,99,9.94516128039278
1980-06-10,Double Ridge,100,12.380205246247206
1980-06-11,Double Ridge,101,11.624125122990124
1980-06-12,Double Ridge,102,12.680978181142468
1980-06-13,Double Ridge,103,14.128439256543029
1980-06-14,Double Ridge,104,12.279144381110335
1980-06-15,Double Ridge,105,12.421264783176461
1980-06-16,Double Ridge,106,11.561443938316193
1980-06-17,Anthesis,1,3.75
1980-06-18,Anthesis,2,4.650000000000001
1980-06-19,Anthesis,3,5.199999999999999
1980-06-20,Anthesis,4,2.3000000000000003
1980-06-21,Anthesis,5,4.300000000000001
1980-06-22,Anthesis,6,1.8000000000000005
1980-06-23,Anthesis,7,0.9500000000000008
1980-06-24,Anthesis,8,1.7999999999999998
1980-06-25,Anthesis,9,3.499999999999999
1980-06-26,Anthesis,10,4.050000000000001
1980-06-27,Anthesis,11,2.3499999999999996
1980-06-28,Anthesis,12,3.55
1980-06-29,Anthesis,13,3.950000000000001
1980-06-30,Anthesis,14,3.4499999999999993
1980-07-01,Anthesis,15,2.75
1980-07-02,Anthesis,16,5.6
1980-07-03,Anthesis,17,5.7
1980-07-04,Anthesis,18,4.85
1980-07-05,Anthesis,19,4.350000000000001
1980-07-06,Anthesis,20,4.0
1980-07-07,Anthesis,21,4.899999999999999
1980-07-08,Anthesis,22,3.1499999999999995
1980-07-09,Anthesis,23,2.8
1980-07-10,Anthesis,24,3.0500000000000007
1980-07-11,Anthesis,25,3.95
1980-07-12,Anthesis,26,4.25
1980-07-13,Anthesis,27,4.75
1980-07-14,Anthesis,28,3.2499999999999996
1980-07-15,Anthesis,29,2.2999999999999994
1980-07-16,Anthesis,30,3.999999999999999
1980-07-17,Anthesis,31,1.7999999999999998
1980-07-18,Anthesis,32,5.099999999999999
1980-07-19,Anthesis,33,7.1000000000000005
1980-07-20,Anthesis,34,4.75
1980-07-21,Anthesis,35,3.05
1980-07-22,Anthesis,36,4.799999999999999
1980-07-23,Anthesis,37,6.700000000000003
1980-07-24,Anthesis,38,7.05
1980-07-25,Anthesis,39,9.600000000000001
1980-07-26,Anthesis,40,10.2
1980-07-27,Anthesis,41,7.199999999999999
1980-07-28,Anthesis,42,7.600000000000001
1980-07-29,Anthesis,43,11.400000000000002
1980-07-30,Anthesis,44,7.750000000000001
1980-07-31,Anthesis,45,7.900000000000002
1980-08-01,Anthesis,46,6.850000000000001
1980-08-02,Anthesis,47,8.45
1980-08-03,Anthesis,48,8.9
1980-08-04,Anthesis,49,8.950000000000001
1980-08-05,Anthesis,50,7.2
1980-08-06,Anthesis,51,7.6
1980-08-07,Anthesis,52,10.350000000000001
1980-08-08,Anthesis,53,5.65
1980-08-09,Anthesis,54,7.6000000000000005
1980-08-10,Anthesis,55,7.8999999999999995
1980-08-11,Anthesis,56,6.5
1980-08-12,Anthesis,57,6.0
1980-08-13,Anthesis,58,8.85
1980-08-14,Anthesis,59,10.200000000000001
1980-08-15,Anthesis,60,10.5
1980-08-16,Anthesis,61,7.799999999999999
1980-08-17,Anthesis,62,7.399999999999999
1980-08-18,Anthesis,63,7.300000000000001
1980-08-19,Maturity,1,6.5
1980-08-20,Maturity,2,8.749999999999998
1980-08-21,Maturity,3,7.249999999999998
1980-08-22,Maturity,4,3.85
1980-08-23,Maturity,5,2.400000000000001
1980-08-24,Maturity,6,3.1499999999999995
1980-08-25,Maturity,7,3.8500000000000014
1980-08-26,Maturity,8,6.299999999999999
1980-08-27,Maturity,9,7.049999999999999
1980-08-28,Maturity,10,8.450000000000003
1980-08-29,Maturity,11,6.299999999999999
1980-08-30,Maturity,12,6.499999999999999
1980-08-31,Maturity,13,4.850000000000001
